LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,aka
LINC00908,Prostate Cancer,"Microarray, RT-qPCR, Western blot analysis, Dual luciferase reporter assay, RIP",down-regulated,31938018,Also Known As: ASRPS,1,NR_015417.1,19,19,0,0,VALIDATED,ASRPS
LINC00963,Prostate Cancer,"Microarray, qPCR, RNAi, Western blot etc.",up-regulated,24691949,Also Known As: MetaLnc9,1,NR_038955.1,21,20,1,0,VALIDATED,MetaLnc9
"LINC00969 ",Prostate Cancer,"Microarray, qPCR etc.",up-regulated,27556357,Also Known As: MIR570HG; LINC00969,1 (MIR570HG),MIR570HG (NR_122105.1),7 (MIR570HG),7,0,0,VALIDATED (MIR570HG),LINC00969; MIR570HG
"LINC00969 ",Prostate Cancer,"Microarray, qPCR etc.",down-regulated,27556357,Also Known As: MIR570HG; LINC00969,1 (MIR570HG),MIR570HG (NR_122105.1),7 (MIR570HG),7,0,0,VALIDATED (MIR570HG),LINC00969; MIR570HG
LINC01116,Prostate Cancer,"RNA-seq, qPCR, RNAi etc.",up-regulated,28131897,Also Known As: TALNEC2,1,NR_040001.2,2,2,0,0,VALIDATED,TALNEC2
LINC01138,Prostate Cancer,"Microarray, qPCR etc.",down-regulated,27556357,Also Known As: LINC00875,2,"NR_027468.3, NR_104014.2","10,7","10,7","0,0","0,0",VALIDATED,LINC00875
LINC01138,Prostate Cancer,"Microarray, qPCR etc.",up-regulated,27556357,Also Known As: LINC00875,2,"NR_027468.3, NR_104014.2","10,7","10,7","0,0","0,0",VALIDATED,LINC00875
"LINC01296",Prostate Cancer,"qPCR, Western blot",up-regulated,28392705,"Also Known As: DUXAP9; LNMAT1; LINC01296; LncRNA-CTD903 (Gene Cards)

Homo sapiens double homeobox A pseudogene 9 (DUXAP9), transcript variant 1 and 2, non-coding RNA (NR_122111.1 and NR_122112.1)

transcribed RNA-misc_RNA (mentioned as lncRNA in title of papers; PubMed - 31522796 and others) (NR_122111.1 and NR_122112.1)

Gene type - pseudo",2 (DUXAP9),"DUXAP9 (NR_122111.1, NR_122112.1)","19, 9 (DUXAP9)","19,9","0,0","0,0",VALIDATED (DUXAP9),LNMAT1; LINC01296; DUXAP9
LINP1,Prostate Cancer,"qPCR, Western blot",up-regulated,30058678,,1,NR_138480.1,7,5,2,0,VALIDATED,lncRNA in non-homologous end joining pathway 1;lncRNA in nonhomologous end joining (NHEJ) pathway 1;lncRNA in nonhomologous end joining pathway 1;LINP1;NONHSAG005150.2;HSALNG0075977;HSALNG0075974
lncRNA-ATB,Prostate Cancer,"qPCR, Western blot etc.",up-regulated,27176634,,1,NR_160525.1,17,16,1,0,VALIDATED,
LOXL1-AS1,Prostate Cancer,"qRT-PCR , Microarray , Western blot etc.",down-regulated,31188543,,5,"NR_040066.1, NR_040067.1, NR_040068.1, NR_040069.1, NR_040070.1","15, 13, 11, 9, 11","12,10,11,9,10","3,3,0,0,1","0,0,0,0,0",VALIDATED,LOXL1 antisense RNA 1;LOXL1 antisense RNA 1 (non-protein coding);HSALNG0107133;LOXL1-AS1;NONHSAG017388.2;HSALNG0107136
LOXL1-AS1,Prostate Cancer,"qPCR, RNA-seq, Luciferase reporter assay, RNAi, other",down-regulated,30278884,,5,"NR_040066.1, NR_040067.1, NR_040068.1, NR_040069.1, NR_040070.1","15, 13, 11, 9, 11","12,10,11,9,10","3,3,0,0,1","0,0,0,0,0",VALIDATED,LOXL1 antisense RNA 1;LOXL1 antisense RNA 1 (non-protein coding);HSALNG0107133;LOXL1-AS1;NONHSAG017388.2;HSALNG0107136
LSAMP-AS1,Prostate Cancer,"RT-qPCR, Western blot",down-regulated,31727599,,1,NR_109998.1,4,4,0,0,VALIDATED,LSAMP antisense RNA 1;LSAMP antisense RNA 1 (non-protein coding);HSALNG0028218;LSAMP-AS1;NONHSAG035803.2
LUCAT1,Prostate Cancer,"qRT-PCR , Western blot etc.",up-regulated,31081080,Also Known As: SCAL1; SCAT5,2,"NR_103548.1, NR_103549.1","3,2","3,2","0,0","0,0",VALIDATED,SCAL1; SCAT5
MALAT1,Prostate Cancer,qPCR etc.,down-regulated,32210615,"Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047

Some (older-not checked for PQS) scRNA mascRNA (MALAT1 gene) ""scRNA"" ncRNA (TPA: HG975416.1) was also there in result.

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.",3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46,47,47","7,7,6","0,0,0",REVIEWED,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Prostate Cancer,RNA-seq,differential expression,30906477,"Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047

Some (older-not checked for PQS) scRNA mascRNA (MALAT1 gene) ""scRNA"" ncRNA (TPA: HG975416.1) was also there in result.

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.",3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46,47,47","7,7,6","0,0,0",REVIEWED,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Prostate Cancer,"RT-qPCR, Western blot assay, Luciferase assay, RIP",up-regulated,31935634,"Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047

Some (older-not checked for PQS) scRNA mascRNA (MALAT1 gene) ""scRNA"" ncRNA (TPA: HG975416.1) was also there in result.

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.",3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46,47,47","7,7,6","0,0,0",REVIEWED,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Prostate Cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, etc.",up-regulated,30642743,"Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047

Some (older-not checked for PQS) scRNA mascRNA (MALAT1 gene) ""scRNA"" ncRNA (TPA: HG975416.1) was also there in result.

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.",3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46,47,47","7,7,6","0,0,0",REVIEWED,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Prostate Cancer,"qPCR, Western blot, ChIP, Dot blot etc.",differential expression,27922078,"Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047

Some (older-not checked for PQS) scRNA mascRNA (MALAT1 gene) ""scRNA"" ncRNA (TPA: HG975416.1) was also there in result.

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.",3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46,47,47","7,7,6","0,0,0",REVIEWED,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Prostate Cancer,"Microarray, qPCR etc.",up-regulated,27600237,"Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047

Some (older-not checked for PQS) scRNA mascRNA (MALAT1 gene) ""scRNA"" ncRNA (TPA: HG975416.1) was also there in result.

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.",3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46,47,47","7,7,6","0,0,0",REVIEWED,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Prostate Cancer,"qPCR, RNAi, RIP, ChIP etc.",up-regulated,26516927,"Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047

Some (older-not checked for PQS) scRNA mascRNA (MALAT1 gene) ""scRNA"" ncRNA (TPA: HG975416.1) was also there in result.

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.",3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46,47,47","7,7,6","0,0,0",REVIEWED,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Prostate Cancer,"RNA-seq, qPCR etc.",up-regulated,22349460,"Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047

Some (older-not checked for PQS) scRNA mascRNA (MALAT1 gene) ""scRNA"" ncRNA (TPA: HG975416.1) was also there in result.

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.",3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46,47,47","7,7,6","0,0,0",REVIEWED,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Prostate Cancer,"qPCR, Western blot, Luciferase reporter assay etc.",up-regulated,29633510,"Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047

Some (older-not checked for PQS) scRNA mascRNA (MALAT1 gene) ""scRNA"" ncRNA (TPA: HG975416.1) was also there in result.

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.",3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46,47,47","7,7,6","0,0,0",REVIEWED,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Prostate Cancer,qPCR etc.,up-regulated,23845456,"Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047

Some (older-not checked for PQS) scRNA mascRNA (MALAT1 gene) ""scRNA"" ncRNA (TPA: HG975416.1) was also there in result.

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.",3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46,47,47","7,7,6","0,0,0",REVIEWED,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MALAT1,Prostate Cancer,"qPCR, Northern blot etc.",up-regulated,23726266,"Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047

Some (older-not checked for PQS) scRNA mascRNA (MALAT1 gene) ""scRNA"" ncRNA (TPA: HG975416.1) was also there in result.

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.",3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46,47,47","7,7,6","0,0,0",REVIEWED,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
MANCR,Prostate Cancer,"qPCR, RNA-seq etc",down-regulated,32199616,Also Known As: LINC00704,1,NR_024475.1,7,7,0,0,PREDICTED,LINC00704
MCM3AP-AS1,Prostate Cancer,"qPCR, Western blot, RIP etc",up-regulated,32193153,Also known as: C21orf85; MCM3APAS; MCM3AP-AS; MCM3APASB; NCRNA00031,4,"NR_110565.1, NR_002776.4,NR_110566.1,NR_110567.1","9,9,10,11","9,9,10,11","0,0,0,0","0,0,0,0",VALIDATED,C21orf85; MCM3APAS; MCM3AP-AS; MCM3APASB; NCRNA00031
MEG3,Prostate Cancer,"qPCR, Western blot, RIP etc",differential expressed,31790140,"Also Known As: GTL2; FP504; prebp1; PRO0518; PRO2160; LINC00023; NCRNA00023; onco-lncRNA-83

Sequence not available for 11th variant.

Some (older-not checked for PQS) Long non-coding RNA containing retained intron meg3 (MEG3 gene); and maternally expressed 3 transcript variant lncRNA (MEG3) ""lncRNA"" ncRNA (TPA: HG975417.1 and complete sequence - MH929320.1 respectively) were also there in result.

Some (older-not checked for PQS) MEG3 isoforms ncRNA ""other"" ncRNA (complete sequence, alternatively spliced) were also there in result.

PQS 7 and 9 obtained in 16th Variant when search parameter was set to Min G-Group Size: 2 was replaced by another PQSs of same scores (by shifting G-Group/Quartet frame) when search parameter was set to Min G-Group Size: 3.
For further consideration, PQS when search parameter was set to Min G-Group Size: 2 was taken.","15
(11th Variant not available)
(Total=16)","NR_002766.2, NR_003530.2, NR_003531.3, NR_033358.1, NR_033359.1, NR_033360.1, NR_046464.1, NR_046465.2, NR_046466.1, NR_046467.1, _____, NR_046469.1, NR_046470.2, NR_046471.1, NR_046472.1, NR_046473.1","16, 19, 18, 17, 17, 17, 17, 17, 17, 18, ___, 17, 19, 17, 18, 93","14,17,16,15,15,15,15,15,15,16,15,17,15,16,81","2,2,2,2,2,2,2,2,2,2,2,2,2,2,12","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,GTL2; FP504; prebp1; PRO0518; PRO2160; LINC00023; NCRNA00023; onco-lncRNA-83
MEG3,Prostate Cancer,"qPCR, Western blot, Luciferase reporter assay, RIP, etc.",down-regulated,30565858,"Also Known As: GTL2; FP504; prebp1; PRO0518; PRO2160; LINC00023; NCRNA00023; onco-lncRNA-83

Sequence not available for 11th variant.

Some (older-not checked for PQS) Long non-coding RNA containing retained intron meg3 (MEG3 gene); and maternally expressed 3 transcript variant lncRNA (MEG3) ""lncRNA"" ncRNA (TPA: HG975417.1 and complete sequence - MH929320.1 respectively) were also there in result.

Some (older-not checked for PQS) MEG3 isoforms ncRNA ""other"" ncRNA (complete sequence, alternatively spliced) were also there in result.

PQS 7 and 9 obtained in 16th Variant when search parameter was set to Min G-Group Size: 2 was replaced by another PQSs of same scores (by shifting G-Group/Quartet frame) when search parameter was set to Min G-Group Size: 3.
For further consideration, PQS when search parameter was set to Min G-Group Size: 2 was taken.","15
(11th Variant not available)
(Total=16)","NR_002766.2, NR_003530.2, NR_003531.3, NR_033358.1, NR_033359.1, NR_033360.1, NR_046464.1, NR_046465.2, NR_046466.1, NR_046467.1, _____, NR_046469.1, NR_046470.2, NR_046471.1, NR_046472.1, NR_046473.1","16, 19, 18, 17, 17, 17, 17, 17, 17, 18, ___, 17, 19, 17, 18, 93","14,17,16,15,15,15,15,15,15,16,15,17,15,16,81","2,2,2,2,2,2,2,2,2,2,2,2,2,2,12","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,GTL2; FP504; prebp1; PRO0518; PRO2160; LINC00023; NCRNA00023; onco-lncRNA-83
MEG3,Prostate Cancer,"qPCR, ISH etc.",down-regulated,14602737,"Also Known As: GTL2; FP504; prebp1; PRO0518; PRO2160; LINC00023; NCRNA00023; onco-lncRNA-83

Sequence not available for 11th variant.

Some (older-not checked for PQS) Long non-coding RNA containing retained intron meg3 (MEG3 gene); and maternally expressed 3 transcript variant lncRNA (MEG3) ""lncRNA"" ncRNA (TPA: HG975417.1 and complete sequence - MH929320.1 respectively) were also there in result.

Some (older-not checked for PQS) MEG3 isoforms ncRNA ""other"" ncRNA (complete sequence, alternatively spliced) were also there in result.

PQS 7 and 9 obtained in 16th Variant when search parameter was set to Min G-Group Size: 2 was replaced by another PQSs of same scores (by shifting G-Group/Quartet frame) when search parameter was set to Min G-Group Size: 3.
For further consideration, PQS when search parameter was set to Min G-Group Size: 2 was taken.","15
(11th Variant not available)
(Total=16)","NR_002766.2, NR_003530.2, NR_003531.3, NR_033358.1, NR_033359.1, NR_033360.1, NR_046464.1, NR_046465.2, NR_046466.1, NR_046467.1, _____, NR_046469.1, NR_046470.2, NR_046471.1, NR_046472.1, NR_046473.1","16, 19, 18, 17, 17, 17, 17, 17, 17, 18, ___, 17, 19, 17, 18, 93","14,17,16,15,15,15,15,15,15,16,15,17,15,16,81","2,2,2,2,2,2,2,2,2,2,2,2,2,2,12","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,GTL2; FP504; prebp1; PRO0518; PRO2160; LINC00023; NCRNA00023; onco-lncRNA-83
MEG3,Prostate Cancer,"qPCR, RNAi, Western blot, Flow cytometry assay etc.",down-regulated,26610246,"Also Known As: GTL2; FP504; prebp1; PRO0518; PRO2160; LINC00023; NCRNA00023; onco-lncRNA-83

Sequence not available for 11th variant.

Some (older-not checked for PQS) Long non-coding RNA containing retained intron meg3 (MEG3 gene); and maternally expressed 3 transcript variant lncRNA (MEG3) ""lncRNA"" ncRNA (TPA: HG975417.1 and complete sequence - MH929320.1 respectively) were also there in result.

Some (older-not checked for PQS) MEG3 isoforms ncRNA ""other"" ncRNA (complete sequence, alternatively spliced) were also there in result.

PQS 7 and 9 obtained in 16th Variant when search parameter was set to Min G-Group Size: 2 was replaced by another PQSs of same scores (by shifting G-Group/Quartet frame) when search parameter was set to Min G-Group Size: 3.
For further consideration, PQS when search parameter was set to Min G-Group Size: 2 was taken.","15
(11th Variant not available)
(Total=16)","NR_002766.2, NR_003530.2, NR_003531.3, NR_033358.1, NR_033359.1, NR_033360.1, NR_046464.1, NR_046465.2, NR_046466.1, NR_046467.1, _____, NR_046469.1, NR_046470.2, NR_046471.1, NR_046472.1, NR_046473.1","16, 19, 18, 17, 17, 17, 17, 17, 17, 18, ___, 17, 19, 17, 18, 93","14,17,16,15,15,15,15,15,15,16,15,17,15,16,81","2,2,2,2,2,2,2,2,2,2,2,2,2,2,12","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,GTL2; FP504; prebp1; PRO0518; PRO2160; LINC00023; NCRNA00023; onco-lncRNA-83
MEG3,Prostate Cancer,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",down-regulated,23728290,"Also Known As: GTL2; FP504; prebp1; PRO0518; PRO2160; LINC00023; NCRNA00023; onco-lncRNA-83

Sequence not available for 11th variant.

Some (older-not checked for PQS) Long non-coding RNA containing retained intron meg3 (MEG3 gene); and maternally expressed 3 transcript variant lncRNA (MEG3) ""lncRNA"" ncRNA (TPA: HG975417.1 and complete sequence - MH929320.1 respectively) were also there in result.

Some (older-not checked for PQS) MEG3 isoforms ncRNA ""other"" ncRNA (complete sequence, alternatively spliced) were also there in result.

PQS 7 and 9 obtained in 16th Variant when search parameter was set to Min G-Group Size: 2 was replaced by another PQSs of same scores (by shifting G-Group/Quartet frame) when search parameter was set to Min G-Group Size: 3.
For further consideration, PQS when search parameter was set to Min G-Group Size: 2 was taken.","15
(11th Variant not available)
(Total=16)","NR_002766.2, NR_003530.2, NR_003531.3, NR_033358.1, NR_033359.1, NR_033360.1, NR_046464.1, NR_046465.2, NR_046466.1, NR_046467.1, _____, NR_046469.1, NR_046470.2, NR_046471.1, NR_046472.1, NR_046473.1","16, 19, 18, 17, 17, 17, 17, 17, 17, 18, ___, 17, 19, 17, 18, 93","14,17,16,15,15,15,15,15,15,16,15,17,15,16,81","2,2,2,2,2,2,2,2,2,2,2,2,2,2,12","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,GTL2; FP504; prebp1; PRO0518; PRO2160; LINC00023; NCRNA00023; onco-lncRNA-83
MIR17HG,Prostate Cancer,"Microarray, qPCR etc.",up-regulated,27556357,Also Known As: MIHG1; MIRH1; FGLDS2; MIRHG1; C13orf25; LINC00048; miR-17-92; NCRNA00048,2,"NR_027350.1, NR_027349.1","19, 4","18,3","1,1","0,0",REVIEWED,MIHG1; MIRH1; FGLDS2; MIRHG1; C13orf25; LINC00048; miR-17-92; NCRNA00048
MIR222HG,Prostate Cancer,"qPCR, luciferase reporter assay, RIP, in vitro knockdown etc.",up-regulated,29540675,Also Known As: Lnc-Ang362,1,NR_170290.1,89,84,3,2,VALIDATED,Lnc-Ang362
MNX1-AS1,Prostate Cancer,"qPCR, Western blot",up-regulated,30980513,Also Known As: MAYA; CCAT5,1,NR_038835.1,12,10,2,0,VALIDATED,MAYA; CCAT5
"MYCLo-5",Prostate Cancer,"qPCR, Flow cytometry assay, Cell proliferation assay etc.",down-regulated,26003165,"Also Known As: LPP-AS2; MYCLo-5; MYCLo-6

Some (older) MYCLo-5_v1 and v2 long non-coding RNA ""other"" ncRNA (complete sequence-JX046913.1 and JX046914.1 respectively) with PQS-10, 5 respectively were also there in result.

Aliases for LPP-AS2 Gene (From GeneCards database - GCID:GC03M188151)
LPP Antisense RNA 2
LPP-AS2
LPP Antisense RNA 2 (Non-Protein Coding) 2
MYCLo-5
MYCLo-6
NONHSAG036948.2
HSALNG0031463

Alias symbols for LPP-AS2 (From HGNC databse - HGNC ID - HGNC:27952)
MYCLo-5
MYCLo-6
LPP antisense RNA 2 (non-protein coding)

Gene Synonyms for LPP-AS2 (From Ensembl database - Ensembl version - ENSG00000270959.1)
MYCLo-5, MYCLo-6",1 (LPP-AS2),LPP-AS2 (NR_036497.1),18 (LPP-AS2),18,0,0,VALIDATED (LPP-AS2),MYCLo-5; MYCLo-6; LPP-AS2
"MYCLo-6",Prostate Cancer,"qPCR, Flow cytometry assay, Cell proliferation assay etc.",down-regulated,26003165,"Also Known As: LPP-AS2; MYCLo-5; MYCLo-6

Some (older) MYCLo-5_v1 and v2 long non-coding RNA ""other"" ncRNA (complete sequence-JX046913.1 and JX046914.1 respectively) with PQS-10, 5 respectively were also there in result.

Aliases for LPP-AS2 Gene (From GeneCards database - GCID:GC03M188151)
LPP Antisense RNA 2
LPP-AS2
LPP Antisense RNA 2 (Non-Protein Coding) 2
MYCLo-5
MYCLo-6
NONHSAG036948.2
HSALNG0031463

Alias symbols for LPP-AS2 (From HGNC databse - HGNC ID - HGNC:27952)
MYCLo-5
MYCLo-6
LPP antisense RNA 2 (non-protein coding)

Gene Synonyms for LPP-AS2 (From Ensembl database - Ensembl version - ENSG00000270959.1)
MYCLo-5, MYCLo-6",1 (LPP-AS2),LPP-AS2 (NR_036497.1),18 (LPP-AS2),18,0,0,VALIDATED (LPP-AS2),MYCLo-5; MYCLo-6; LPP-AS2
"MYU ",Prostate Cancer,"qPCR, ChIP, Dual luciferase activity assay, Western blot",up-regulated,30132573,Also Known As: VPS9D1-AS1; MY,1 (VPS9D1-AS1),VPS9D1-AS1 (NR_036480.1),20 (VPS9D1-AS1),16,4,0,VALIDATED (VPS9D1-AS1),MYU; (VPS9D1-AS1)
"NCK1-AS1",Prostate Cancer,"RT-qPCR, Western blotting",up-regulated,31807161,Also Known As: NCK1-DT; NCK1-AS1; SLC35G2-AS1,3 (NCK1-DT),"NCK1-DT (NR_110175.1, NR_110176.1, NR_110177.1)","9, 8, 7 (NCK1-DT)","9,8,7","0,0,0","0,0,0",VALIDATED (NCK1-DT),NCK1-AS1; SLC35G2-AS1; NCK1-DT
NEAT1,Prostate Cancer,"qRT-PCR, Western blot, RIP, Dual luciferase reporter assay",up-regulated,31672604,"Also Known As: VINC; TncRNA; LINC00084; NCRNA00084

Some (older, not checked for PQS) NEAT1 lncRNA ""lncRNA"" ncRNA (complete sequence-MK562403.1; experiment-RACE) was also there in result.",2 (NEAT1_MENbeta and MENepsilon),"NEAT1_MENbeta and MENepsilon (NR_131012.1,NR_028272.1 respectively)","150, 41 (NEAT1_MENbeta and MENepsilon)","134,33","16,8","0,0",REVIEWED,VINC; TncRNA; LINC00084; NCRNA00084
NEAT1,Prostate Cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP, etc.",up-regulated,31481527,"Also Known As: VINC; TncRNA; LINC00084; NCRNA00084

Some (older, not checked for PQS) NEAT1 lncRNA ""lncRNA"" ncRNA (complete sequence-MK562403.1; experiment-RACE) was also there in result.",2 (NEAT1_MENbeta and MENepsilon),"NEAT1_MENbeta and MENepsilon (NR_131012.1,NR_028272.1 respectively)","150, 41 (NEAT1_MENbeta and MENepsilon)","134,33","16,8","0,0",REVIEWED,VINC; TncRNA; LINC00084; NCRNA00084
NEAT1,Prostate Cancer,"RNA-seq, qPCR, ChIP etc.",up-regulated,25415230,"Also Known As: VINC; TncRNA; LINC00084; NCRNA00084

Some (older, not checked for PQS) NEAT1 lncRNA ""lncRNA"" ncRNA (complete sequence-MK562403.1; experiment-RACE) was also there in result.",2 (NEAT1_MENbeta and MENepsilon),"NEAT1_MENbeta and MENepsilon (NR_131012.1,NR_028272.1 respectively)","150, 41 (NEAT1_MENbeta and MENepsilon)","134,33","16,8","0,0",REVIEWED,VINC; TncRNA; LINC00084; NCRNA00084
NEAT1,Prostate Cancer,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",up-regulated,23728290,"Also Known As: VINC; TncRNA; LINC00084; NCRNA00084

Some (older, not checked for PQS) NEAT1 lncRNA ""lncRNA"" ncRNA (complete sequence-MK562403.1; experiment-RACE) was also there in result.",2 (NEAT1_MENbeta and MENepsilon),"NEAT1_MENbeta and MENepsilon (NR_131012.1,NR_028272.1 respectively)","150, 41 (NEAT1_MENbeta and MENepsilon)","134,33","16,8","0,0",REVIEWED,VINC; TncRNA; LINC00084; NCRNA00084
NORAD,Prostate Cancer,"qPCR, Western blot",up-regulated,31342822,Also Known As: LINC00657,1,NR_027451.1,30,25,5,0,VALIDATED,LINC00657
NR2F2-AS1,Prostate Cancer,"qPCR , Western blot etc.",up-regulated,31566058,,3,"NR_102743.1, NR_102744.1, NR_125738.1","9, 4, 3","9,4,3","0,0,0","0,0,0",VALIDATED,NR2F2 antisense RNA 1;NR2F2 antisense RNA 1 (non-protein coding);HSALNG0108391;NR2F2-AS1;NONHSAG017999.2;HSALNG0108393;NONHSAG018003.2;HSALNG0108400;HSALNG0108394;HSALNG0108392;HSALNG0108404;HSALNG0108399
OSTN-AS1,Prostate Cancer,qPCR,up-regulated,29923546,,1,NR_133663.1,1,1,0,0,VALIDATED,OSTN antisense RNA 1;OSTN antisense RNA 1 (non-protein coding);HSALNG0031592;NONHSAG036974.2;OSTN-AS1
PART1,Prostate Cancer,"qPCR, Western blotting, Microarray etc.",up-regulated,29261512,Also Known As: NCRNA00206,3,"NR_024617.1, NR_028508.1, NR_028509.1","18, 11, 21","18,11,20","0,0,1","0,0,0",VALIDATED,NCRNA00206
PCA3,Prostate Cancer,"qPCR, Western blot, etc.",up-regulated,30569456,Also known asDD3; PCAT3; NCRNA00019; PRUNE2-AS1,3,"NR_132312.1, NR_015342.2 , NR_132313.1 ",11-12-2011 00:00,"11,10,10","1,1,1","0,0,0",REVIEWED,DD3; PCAT3; NCRNA00019; PRUNE2-AS1
PCA3,Prostate Cancer,PROGENSA PCA3 assay etc.,up-regulated,21883822,Also known asDD3; PCAT3; NCRNA00019; PRUNE2-AS1,3,"NR_132312.1, NR_015342.2 , NR_132313.1 ",11-12-2011 00:00,"11,10,10","1,1,1","0,0,0",REVIEWED,DD3; PCAT3; NCRNA00019; PRUNE2-AS1
PCA3,Prostate Cancer,qPCR etc.,differential expression,21655300,Also known asDD3; PCAT3; NCRNA00019; PRUNE2-AS1,3,"NR_132312.1, NR_015342.2 , NR_132313.1 ",11-12-2011 00:00,"11,10,10","1,1,1","0,0,0",REVIEWED,DD3; PCAT3; NCRNA00019; PRUNE2-AS1
PCA3,Prostate Cancer,qPCR,up-regulated,28938580,Also known asDD3; PCAT3; NCRNA00019; PRUNE2-AS1,3,"NR_132312.1, NR_015342.2 , NR_132313.1 ",11-12-2011 00:00,"11,10,10","1,1,1","0,0,0",REVIEWED,DD3; PCAT3; NCRNA00019; PRUNE2-AS1
PCA3,Prostate Cancer,"qPCR, western blot etc.",differential expression,28739722,Also known asDD3; PCAT3; NCRNA00019; PRUNE2-AS1,3,"NR_132312.1, NR_015342.2 , NR_132313.1 ",11-12-2011 00:00,"11,10,10","1,1,1","0,0,0",REVIEWED,DD3; PCAT3; NCRNA00019; PRUNE2-AS1
PCA3,Prostate Cancer,qPCR etc.,down-regulated,26960690,Also known asDD3; PCAT3; NCRNA00019; PRUNE2-AS1,3,"NR_132312.1, NR_015342.2 , NR_132313.1 ",11-12-2011 00:00,"11,10,10","1,1,1","0,0,0",REVIEWED,DD3; PCAT3; NCRNA00019; PRUNE2-AS1
