LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Lnc Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,Total No. of PQS.1,G4Hunter Scores of PQS,Similarity between PQS from QGRS mapper vs PQS from G4 hunter,Total No. of PQS.2,G4Hunter Scores of PQS.1,Similarity between PQS from QGRS mapper vs PQS from G4 hunter.1,Unnamed: 19,aka
"LINK-A 
LINC01139",non small cell lung cancer,"qPCR, Western blot, other",up-regulated,31404323.0,Also known as: LINKA; LINK-A;  LINC01139,1 (LINC01139),LINC01139 (NR_015407.1),8 (LINC01139),8,0,0,VALIDATED (LINC01139),"4 (1 - 2G, 3 - C-rich)","[0.73 (2G); -1.021, -0.913, -0.882 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter,,LINKA; LINK-A
lncRNA-ATB,non small cell lung cancer,"qRT-PCR, Western blot",up-regulated,32092085.0,,1,NR_160525.1,17,16,1,0,VALIDATED,"4 (1 - 2G, 3 - C-rich)","[-0.87, -0.913, -0.917 (C-rich), 0.729 (2G)]  
","No similarity to any PQS (2G) from QGRS mapper.
",0,0,No PQS found in G4 Hunter,,
lncRNA-ATB,lung squamous cell carcinoma,"Double-luciferase reporter assay, RT-qPCR, Western blotting analysis",up-regulated,31934791.0,,1,NR_160525.1,17,16,1,0,VALIDATED,"4 (1 - 2G, 3 - C-rich)","[-0.87, -0.913, -0.917 (C-rich), 0.729 (2G)]  
","No similarity to any PQS (2G) from QGRS mapper.
",0,0,No PQS found in G4 Hunter,,
lncRNA-ATB,lung cancer,"qPCR, Western blot",up-regulated,30128006.0,,1,NR_160525.1,17,16,1,0,VALIDATED,"4 (1 - 2G, 3 - C-rich)","[-0.87, -0.913, -0.917 (C-rich), 0.729 (2G)]  
","No similarity to any PQS (2G) from QGRS mapper.
",0,0,No PQS found in G4 Hunter,,
lncRNA-ATB,non small cell lung cancer,"RT-PCR, Western blot",up-regulated,31983095.0,,1,NR_160525.1,17,16,1,0,VALIDATED,"4 (1 - 2G, 3 - C-rich)","[-0.87, -0.913, -0.917 (C-rich), 0.729 (2G)]  
","No similarity to any PQS (2G) from QGRS mapper.
",0,0,No PQS found in G4 Hunter,,
lncRNA-ATB,lung adenocarcinoma,"qPCR, Western blot, Luciferase reporter assay etc.",differential expressed,32256108.0,,1,NR_160525.1,17,16,1,0,VALIDATED,"4 (1 - 2G, 3 - C-rich)","[-0.87, -0.913, -0.917 (C-rich), 0.729 (2G)]  
","No similarity to any PQS (2G) from QGRS mapper.
",0,0,No PQS found in G4 Hunter,,
lncRNA-ATB,lung cancer,"qPCR, Western blot etc.",up-regulated,29693289.0,,1,NR_160525.1,17,16,1,0,VALIDATED,"4 (1 - 2G, 3 - C-rich)","[-0.87, -0.913, -0.917 (C-rich), 0.729 (2G)]  
","No similarity to any PQS (2G) from QGRS mapper.
",0,0,No PQS found in G4 Hunter,,
lncRNA-ATB,non small cell lung cancer,"qPCR, RNAi, Flow cytometry assay etc.",up-regulated,27878433.0,,1,NR_160525.1,17,16,1,0,VALIDATED,"4 (1 - 2G, 3 - C-rich)","[-0.87, -0.913, -0.917 (C-rich), 0.729 (2G)]  
","No similarity to any PQS (2G) from QGRS mapper.
",0,0,No PQS found in G4 Hunter,,
lncRNA-HEIH,non small cell lung cancer,"qPCR, Western blot, other",up-regulated,30230600.0,Also Known As: HEIH; HCCAT2; LINC-HEIH; LINC00848; lncRNA-HEIH,1,NR_045680.1,17,16,1,0,VALIDATED,"12 (4 - 2G, 8 - C-rich)","[0.935, 0.936, 0.714, 0.854 (2G); -0.938, -0.911, -0.933, -0.956, -0.703, -0.851, -0.878, -0.851 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 Hunter,,HCCAT2; LINC-HEIH; LINC00848; lncRNA-HEIH
lncRNA-LET,non small cell lung cancer,"qPCR, Western blot",down-regulated,29416684.0,Also known as: NPTN-IT1,1,NR_103844.1,13,13,0,0,VALIDATED,"11 (3 - 2G, 9 - C-rich)","[-0.647, -0.913, -0.911, -0.913, -0.933, -0.872, -0.783, -0.852 (C-rich), 0.935, 0.935, 0.911, 0.935 (2G)]
",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 Hunter,,lncRNA-LET
lncRNA-LET,lung adenocarcinoma,"qPCR, RNAi, Western blot, Cell proliferation assay etc.",down-regulated,27896272.0,Also known as: NPTN-IT1,1,NR_103844.1,13,13,0,0,VALIDATED,"11 (3 - 2G, 9 - C-rich)","[-0.647, -0.913, -0.911, -0.913, -0.933, -0.872, -0.783, -0.852 (C-rich), 0.935, 0.935, 0.911, 0.935 (2G)]
",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 Hunter,,lncRNA-LET
lncRNA-LET,lung squamous cell carcinoma,"qPCR, Western blot, RIP, in vitro knockdown etc.",down-regulated,23395002.0,Also known as: NPTN-IT1,1,NR_103844.1,13,13,0,0,VALIDATED,"11 (3 - 2G, 9 - C-rich)","[-0.647, -0.913, -0.911, -0.913, -0.933, -0.872, -0.783, -0.852 (C-rich), 0.935, 0.935, 0.911, 0.935 (2G)]
",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 Hunter,,lncRNA-LET
lncRNA-MIF,lung cancer,"qPCR, Luciferase reporter assay etc.",differential expression,27317567.0,Also Known As: ODC1-DT; (ODC1-DT),1 (ODC1-DT),ODC1-DT (NR_110597.1),6 (ODC1-DT),6,0,0,VALIDATED,0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter,,lncRNA-MIF
lncRNA-NEF,small cell lung cancer,"RT-qPCR, Western blotting etc.",down-regulated,31186707.0,"Also known as: LINC01384; lncRNA-NEF, LNCNEF",1,NR_109883.1,4,4,0,0,VALIDATED,1 (C-rich),[-0.913 (C-rich)],No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 Hunter,,LINC01384; lncRNA-NEF
lncRNA-NEF,non small cell lung cancer,"qPCR, Western blot",up-regulated,30854054.0,"Also known as: LINC01384; lncRNA-NEF, LNCNEF",1,NR_109883.1,4,4,0,0,VALIDATED,1 (C-rich),[-0.913 (C-rich)],No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 Hunter,,LINC01384; lncRNA-NEF
"lncTCF7
WSPAR",non small cell lung cancer,"qPCR, RNAi, ChIP, Dual luciferase reporter assay etc.",up-regulated,27766570.0,Also Known As: WSPAR; LncTCF7; TCONS_00009511,1 (WSPAR),WSPAR (NR_131252.1),6 (WSPAR),6,0,0,VALIDATED (WSPAR),0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter,,LncTCF7; TCONS_00009511
"LOC285194
TUSC7",non small cell lung cancer,"qPCR, Western blot, in vitro knockdown, etc.",down-regulated,30542733.0,"Also Known As: TUSC7; LSAMPAS3; LINC00902; LSAMP-AS1; LSAMP-AS3; NCRNA00295. LOC285194 mentioned in title of papers [PubMed-31494574 (TUSC7) and 27683121 (RPL34-DT)] referred in TUSC7 (NR_015391.1) and RPL34-DT (NR_026968.1). Aliases for TUSC7 Gene (From GeneCards database - GCID: GC03P116709)
Tumor Suppressor Candidate 7
TUSC7",1 (TUSC7),TUSC7 (NR_015391.1),9 (TUSC7),9,0,0,VALIDATED,4 (2G),"[0.911, 0.776, 0.935, 0.891 [2G]]",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter,,LSAMPAS3; LINC00902; LSAMP-AS1; LSAMP-AS3; NCRNA00295
"LOC285194
TUSC7",non small cell lung cancer,"qPCR, RNAi, Western blot, ChIP, Luciferase reporter assay, Cell proliferation assay, ISH etc.",differential expression,23558749.0,"Also Known As: TUSC7; LSAMPAS3; LINC00902; LSAMP-AS1; LSAMP-AS3; NCRNA00295. LOC285194 mentioned in title of papers [PubMed-31494574 (TUSC7) and 27683121 (RPL34-DT)] referred in TUSC7 (NR_015391.1) and RPL34-DT (NR_026968.1). Aliases for TUSC7 Gene (From GeneCards database - GCID: GC03P116709)
Tumor Suppressor Candidate 7
TUSC7",1 (TUSC7),TUSC7 (NR_015391.1),9 (TUSC7),9,0,0,VALIDATED,4 (2G),"[0.911, 0.776, 0.935, 0.891 [2G]]",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter,,LSAMPAS3; LINC00902; LSAMP-AS1; LSAMP-AS3; NCRNA00295
"LOC554202
MIR31HG",non small cell lung cancer,"qPCR, Western blot, Luciferase reporter assay etc",up-regulated,31762810.0,"Also Known As: LOC554202; MIR31HG; LncHIFCAR; hsa-lnc-31.LOC554202 mentioned in title of paper (PubMed-22289355 and others) referred in MIR31HG_variants (NR_027054.2, NR_152877.1, NR_152878.1, NR_152879.1).Aliases for MIR31HG Gene (From GeneCards database - GCID: GC09M021439)
MIR31 Host Gene",4 (MIR31HG),"MIR31HG (NR_027054.2, NR_152877.1, NR_152878.1, NR_152879.1)","20, 13, 12, 19 (MIR31HG)","19,13,12,18","1,0,0,1","0,0,0,0",REVIEWED (MIR31HG),"7 (2 - 2G, 5 - C-rich);
5 ( C-rich);
4 (C-rich);
6 (1 - 2G, 5 - C-rich);","[1.034, 0.94 (2G); -0.956, -0.9, -0.789, -0.911, -0.936 (C-rich)];
[-0.956, -0.9, -0.789, -0.911, -0.936 (C-rich)];
[-0.9, -0.789, -0.911, -0.936 (C-rich)];
[1.034, 0.94 (2G); -0.9, -0.789, -0.911, -0.936 (C-rich)]",No similarity to PQS (2G) from QGRS mapper,0,0,No PQS found in G4 Hunter,,LncHIFCAR; hsa-lnc-31
LOC728228,lung cancer,"Microarray, qPCR, RNAi, Western blot etc.",up-regulated,25820656.0,,Refer to LINC01433,,,,,,,,,,,,,,long intergenic non-protein coding RNA 1433;LOC728228;hCG2045830;HSALNG0128306;LINC01433;NONHSAG031175.2
LOC730101,lung cancer,"qPCR, Western blot etc.",up-regulated,28943432.0,,2,"NR_024403.1,NR_024405.1","22,20","21,19","1,1","0,0",VALIDATED,"5 (1-3G, 2-2G, 
2-C-rich);

4 (1-3G, 1-2G, 
2-C-rich)","[0.818 (3G); 0.808, 
0.933 (2G); -0.979
-0.643 (C-rich)];

[0.818 (3G); 0.933 (2G); -0.979
-0.643 (C-rich)]","The PQS 1 (3G) of QGRS  
Mapper is similar to the PQS 1 (3G) 
of G4 Hunter. The G tracts of both 
PQS are the same with a left frame 
shift in G4 hunter.",0,0,No PQS found in G4 hunter,,uncharacterized LOC730101;heterogeneous nuclear ribonucleoprotein A/B (HNRNPAB) pseudogene;lnc-TMEM14A-1;NONHSAG043936.2;HSALNG0050624
LOXL1-AS1,lung adenocarcinoma,"qRT-PCR, Western blot",up-regulated,31758653.0,,5,"NR_040066.1, NR_040067.1, NR_040068.1, NR_040069.1, NR_040070.1","15, 13, 11, 9, 11","12,10,11,9,10","3,3,0,0,1","0,0,0,0,0",VALIDATED,"5 (2 - 3G, 3 - C-rich);

5 (C-rich);

3 (C-rich);

3 (C-rich);

7 (3 - 2G, 4 - C-rich)","[0.851, 1.021 (3G), -0.786, -0.851, -0.976 (C-rich)]; 

[-0.956, -0.9, -0.789, -0.911, -0.936 (C-rich)]; 

[-0.786, -0.851, -0.976 (C-rich)]; 

[-0.786, -0.851, -0.976 (C-rich)]; 

[0.935, 0.765, 0.933 (2G), -0.933, -0.786, -0.851, -0.976 (C-rich)]","In variant 1, PQS 2 (3G) of QGRS mapper is similar to / a part of PQS 1 (3G) of G4 hunter 

PQS 5 (3G) of QGRS mapper is similar to / a part of PQS 2 (3G) of G4 hunter ",0,0,No PQS found in G4 Hunter,,LOXL1 antisense RNA 1;LOXL1 antisense RNA 1 (non-protein coding);HSALNG0107133;LOXL1-AS1;NONHSAG017388.2;HSALNG0107136
LOXL1-AS1,non small cell lung cancer,qRT-PCR,up-regulated,31737192.0,,5,"NR_040066.1, NR_040067.1, NR_040068.1, NR_040069.1, NR_040070.1","15, 13, 11, 9, 11","12,10,11,9,10","3,3,0,0,1","0,0,0,0,0",VALIDATED,"5 (2 - 3G, 3 - C-rich);

5 (C-rich);

3 (C-rich);

3 (C-rich);

7 (3 - 2G, 4 - C-rich)","[0.851, 1.021 (3G), -0.786, -0.851, -0.976 (C-rich)]; 

[-0.956, -0.9, -0.789, -0.911, -0.936 (C-rich)]; 

[-0.786, -0.851, -0.976 (C-rich)]; 

[-0.786, -0.851, -0.976 (C-rich)]; 

[0.935, 0.765, 0.933 (2G), -0.933, -0.786, -0.851, -0.976 (C-rich)]","In variant 1, PQS 2 (3G) of QGRS mapper is similar to / a part of PQS 1 (3G) of G4 hunter 

PQS 5 (3G) of QGRS mapper is similar to / a part of PQS 2 (3G) of G4 hunter ",0,0,No PQS found in G4 Hunter,,LOXL1 antisense RNA 1;LOXL1 antisense RNA 1 (non-protein coding);HSALNG0107133;LOXL1-AS1;NONHSAG017388.2;HSALNG0107136
LSINCT5,non small cell lung cancer,"qPCR, Western blot, in vitro knockdown, RNAi, RIP",up-regulated,29883241.0,"Some (older-not checked for PQS) LSINCT5 non-coding RNA ""other"" ncRNA (partial sequence - GU228577.2) was also there in result.",1,NR_145480.1,24,22,2,0,VALIDATED,"5 (4 - 2G, 1 - C-rich)","[0.891, 0.894, 0.98,  1.021 (2G); -0.911 (C-rich)] ",No similarity to any PQS (2G) from QGRS mapper,2 (3G),"[1.346, 1.362 (3G)]",,,long stress-induced non-coding transcript 5;HSALNG0039679;lnc-C5orf38-7
LSINCT5,lung cancer,"qPCR, Northern blot etc.",up-regulated,20214974.0,"Some (older-not checked for PQS) LSINCT5 non-coding RNA ""other"" ncRNA (partial sequence - GU228577.2) was also there in result.",1,NR_145480.1,24,22,2,0,VALIDATED,"5 (4 - 2G, 1 - C-rich)","[0.891, 0.894, 0.98,  1.021 (2G); -0.911 (C-rich)] ",No similarity to any PQS (2G) from QGRS mapper,2 (3G),"[1.346, 1.362 (3G)]",,,long stress-induced non-coding transcript 5;HSALNG0039679;lnc-C5orf38-7
LSINCT5,non small cell lung cancer,"qPCR, RIP, Microarray, Western blot, etc.",up-regulated,29883241.0,"Some (older-not checked for PQS) LSINCT5 non-coding RNA ""other"" ncRNA (partial sequence - GU228577.2) was also there in result.",1,NR_145480.1,24,22,2,0,VALIDATED,"5 (4 - 2G, 1 - C-rich)","[0.891, 0.894, 0.98,  1.021 (2G); -0.911 (C-rich)] ",No similarity to any PQS (2G) from QGRS mapper,2 (3G),"[1.346, 1.362 (3G)]",,,long stress-induced non-coding transcript 5;HSALNG0039679;lnc-C5orf38-7
LUADT1,small cell lung cancer,"RT-qPCR, Western blot",up-regulated,31842825.0,,1,NR_132442.1,4,4,0,0,VALIDATED,,,,,,,,lung adenocarcinoma associated transcript 1;HSALNG0054158;LUADT1;NONHSAG045093.2
LUADT1,lung adenocarcinoma,"Microarray, qPCR, RNAi, Western blot, RIP, Flow cytometry assay etc.",up-regulated,26291312.0,,1,NR_132442.1,4,4,0,0,VALIDATED,,,,,,,,lung adenocarcinoma associated transcript 1;HSALNG0054158;LUADT1;NONHSAG045093.2
LUCAT1,non small cell lung cancer,"qPCR, Western blot",up-regulated,31298373.0,Also Known As: SCAL1; SCAT5,2,"NR_103548.1, NR_103549.1","3,2","3,2","0,0","0,0",VALIDATED,"0;
3 (2G)","0;
[0.876, 0.911, 0.911 (2G)]",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 Hunter,,SCAL1; SCAT5
LUCAT1,non small cell lung cancer,"qPCR, RNAi, Western blot, RIP, ChIP, Flow cytometry assay, Cell proliferation assay etc.",up-regulated,28423699.0,Also Known As: SCAL1; SCAT5,2,"NR_103548.1, NR_103549.1","3,2","3,2","0,0","0,0",VALIDATED,"0;
3 (2G)","0;
[0.876, 0.911, 0.911 (2G)]",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 Hunter,,SCAL1; SCAT5
MA-LINC1,lung cancer,"qPCR, RNAi, Western blot etc.",up-regulated,26337085.0,Also known as: MA-linc1; LINC01024,3,"NR_102739.1,NR_102740.1,NR_102741.1","14,14,10","13,13,10","1,1,0","0,0,0",VALIDATED,"12 (7-C-rich, 4-2G, 1-3G)
12 (7-C-rich, 4-2G, 1-3G)
10 (6-C-rich, 4- 2G)","[-0.84, -0.975, -0.942, 
-0.935, -0.845, -0.797
-0.765 (C-rich); 0.891
 0.936, 0.816, 0.745 (2G) 0.84,(3G)];

[-0.84, -0.975, -0.942, 
-0.935, -0.845, -0.797
-0.765 (C-rich); 0.891
 0.936, 0.816, 0.745 (2G) 0.84,(3G)];

[-0.84, -0.975, -0.942, 
-0.935, -0.845, -0.797
(C-rich); 0.891,
0.936, 0.816, 0.745 (2G)];

","No similarity to any PQS (3G) from 
QGRS Mapper",0,0,No PQS found in G4 hunter,,MA-linc1; LINC01024
"MAFG-AS1
MAFG-DT",non small cell lung cancer,"qPCR, Western blot, Luciferase reporter assay, etc.",up-regulated,30599080.0,Also Known As: MAFG-DT; MAFG-AS1,1 (MAFG-DT),MAFG-DT (NR_015454.1),25 (MAFG-DT),23,2,0,VALIDATED (MAFG-DT),"16 (4 - 2G, 12 - C-rich)","[-0.708, 0.559, 0.917, -0.893, -0.854, -0.913, 0.783, -0.936, -0.979, -0.75, -0.957, -0.69, -0.774, -0.712, 0.911, 0.917]",No similarity to PQS (2G) from QGRS mapper,0,0,No PQS found in G4 Hunter,,MAFG-AS1
"MAFG-AS1
MAFG-DT",Lung adenocarcinoma,"qPCR, Western blot, Luciferase reporter assay, RIP",up-regulated,31211984.0,Also Known As: MAFG-DT; MAFG-AS1,1 (MAFG-DT),MAFG-DT (NR_015454.1),25 (MAFG-DT),23,2,0,VALIDATED (MAFG-DT),"16 (4 - 2G, 12 - C-rich)","[-0.708, 0.559, 0.917, -0.893, -0.854, -0.913, 0.783, -0.936, -0.979, -0.75, -0.957, -0.69, -0.774, -0.712, 0.911, 0.917]",No similarity to PQS (2G) from QGRS mapper,0,0,No PQS found in G4 Hunter,,MAFG-AS1
MAGI2-AS3,non small cell lung cancer,"qPCR, Western blot",down-regulated,32138716.0,,4,"NR_038343.2, NR_038344.1, NR_038345.1, NR_038346.1","22, 9, 2, 3","21,8,2,3","1,1,0,0","0,0,0,0",VALIDATED,"7 (1-C-rich, 2-3G, 4-2G)
3 (2-3G, 1-2G)
0
0","[-0.894 (C-rich), 0.691, 1 (3G) 0.683, 0.894, 0.8, 0.789(2G)];

[0.691, 1 (3G), 0.683 (2G)]","The PQS 1 (3G) of QGRS
Mapper and PQS 1 (3G)
of G4 hunter are similar
with the same G tracts 
with additional nucleotides
surrounding the G4 
sequence.
By looking at both PQS (3G) from G4 hunter, it appears that at a time only 1 PQS can be formed as all the 3 PQS have few common G-tracts due to overlap amongst them.

The situation is similar for
the second variant.",0,0,No PQS found in G4 Hunter,,MAGI2 antisense RNA 3;ENST00000414797;MAGI2 antisense RNA 3 (non-protein coding);HSALNG0059170;MAGI2-AS3;NONHSAG048073.2
MAGI2-AS3,lung squamous cell carcinoma,"RT-qPCR, Western blot",up-regulated,32021443.0,,4,"NR_038343.2, NR_038344.1, NR_038345.1, NR_038346.1","22, 9, 2, 3","21,8,2,3","1,1,0,0","0,0,0,0",VALIDATED,"7 (1-C-rich, 2-3G, 4-2G)
3 (2-3G, 1-2G)
0
0","[-0.894 (C-rich), 0.691, 1 (3G) 0.683, 0.894, 0.8, 0.789(2G)];

[0.691, 1 (3G), 0.683 (2G)]","The PQS 1 (3G) of QGRS
Mapper and PQS 1 (3G)
of G4 hunter are similar
with the same G tracts 
with additional nucleotides
surrounding the G4 
sequence.
By looking at both PQS (3G) from G4 hunter, it appears that at a time only 1 PQS can be formed as all the 3 PQS have few common G-tracts due to overlap amongst them.

The situation is similar for
the second variant.",0,0,No PQS found in G4 Hunter,,MAGI2 antisense RNA 3;ENST00000414797;MAGI2 antisense RNA 3 (non-protein coding);HSALNG0059170;MAGI2-AS3;NONHSAG048073.2
MAGI2-AS3,non small cell lung cancer,qPCR,down-regulated,29922089.0,,4,"NR_038343.2, NR_038344.1, NR_038345.1, NR_038346.1","22, 9, 2, 3","21,8,2,3","1,1,0,0","0,0,0,0",VALIDATED,"7 (1-C-rich, 2-3G, 4-2G)
3 (2-3G, 1-2G)
0
0","[-0.894 (C-rich), 0.691, 1 (3G) 0.683, 0.894, 0.8, 0.789(2G)];

[0.691, 1 (3G), 0.683 (2G)]","The PQS 1 (3G) of QGRS
Mapper and PQS 1 (3G)
of G4 hunter are similar
with the same G tracts 
with additional nucleotides
surrounding the G4 
sequence.
By looking at both PQS (3G) from G4 hunter, it appears that at a time only 1 PQS can be formed as all the 3 PQS have few common G-tracts due to overlap amongst them.

The situation is similar for
the second variant.",0,0,No PQS found in G4 Hunter,,MAGI2 antisense RNA 3;ENST00000414797;MAGI2 antisense RNA 3 (non-protein coding);HSALNG0059170;MAGI2-AS3;NONHSAG048073.2
MAGI2-AS3,non small cell lung cancer,qPCR,down-regulated,31539127.0,,4,"NR_038343.2, NR_038344.1, NR_038345.1, NR_038346.1","22, 9, 2, 3","21,8,2,3","1,1,0,0","0,0,0,0",VALIDATED,"7 (1-C-rich, 2-3G, 4-2G)
3 (2-3G, 1-2G)
0
0","[-0.894 (C-rich), 0.691, 1 (3G) 0.683, 0.894, 0.8, 0.789(2G)];

[0.691, 1 (3G), 0.683 (2G)]","The PQS 1 (3G) of QGRS
Mapper and PQS 1 (3G)
of G4 hunter are similar
with the same G tracts 
with additional nucleotides
surrounding the G4 
sequence.
By looking at both PQS (3G) from G4 hunter, it appears that at a time only 1 PQS can be formed as all the 3 PQS have few common G-tracts due to overlap amongst them.

The situation is similar for
the second variant.",0,0,No PQS found in G4 Hunter,,MAGI2 antisense RNA 3;ENST00000414797;MAGI2 antisense RNA 3 (non-protein coding);HSALNG0059170;MAGI2-AS3;NONHSAG048073.2
MAGI2-AS3,non small cell lung cancer,"qRT-PCR, Western blot",down-regulated,31910343.0,,4,"NR_038343.2, NR_038344.1, NR_038345.1, NR_038346.1","22, 9, 2, 3","21,8,2,3","1,1,0,0","0,0,0,0",VALIDATED,"7 (1-C-rich, 2-3G, 4-2G)
3 (2-3G, 1-2G)
0
0","[-0.894 (C-rich), 0.691, 1 (3G) 0.683, 0.894, 0.8, 0.789(2G)];

[0.691, 1 (3G), 0.683 (2G)]","The PQS 1 (3G) of QGRS
Mapper and PQS 1 (3G)
of G4 hunter are similar
with the same G tracts 
with additional nucleotides
surrounding the G4 
sequence.
By looking at both PQS (3G) from G4 hunter, it appears that at a time only 1 PQS can be formed as all the 3 PQS have few common G-tracts due to overlap amongst them.

The situation is similar for
the second variant.",0,0,No PQS found in G4 Hunter,,MAGI2 antisense RNA 3;ENST00000414797;MAGI2 antisense RNA 3 (non-protein coding);HSALNG0059170;MAGI2-AS3;NONHSAG048073.2
MAGI2-AS3,non small cell lung cancer,"qPCR, etc.",down-regulated,29922089.0,,4,"NR_038343.2, NR_038344.1, NR_038345.1, NR_038346.1","22, 9, 2, 3","21,8,2,3","1,1,0,0","0,0,0,0",VALIDATED,"7 (1-C-rich, 2-3G, 4-2G)
3 (2-3G, 1-2G)
0
0","[-0.894 (C-rich), 0.691, 1 (3G) 0.683, 0.894, 0.8, 0.789(2G)];

[0.691, 1 (3G), 0.683 (2G)]","The PQS 1 (3G) of QGRS
Mapper and PQS 1 (3G)
of G4 hunter are similar
with the same G tracts 
with additional nucleotides
surrounding the G4 
sequence.
By looking at both PQS (3G) from G4 hunter, it appears that at a time only 1 PQS can be formed as all the 3 PQS have few common G-tracts due to overlap amongst them.

The situation is similar for
the second variant.",0,0,No PQS found in G4 Hunter,,MAGI2 antisense RNA 3;ENST00000414797;MAGI2 antisense RNA 3 (non-protein coding);HSALNG0059170;MAGI2-AS3;NONHSAG048073.2
MALAT1,non small cell lung cancer,"qRT-PCR, Western blot",up-regulated,32141554.0,Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047,3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46,47,47","7,7,6","0,0,0",REVIEWED,"31 (17 - 2G, 9 - 3G, 5 - C-rich);
30 (16 - 2G, 9 - 3G, 5 - C-rich);
31 (1- - 2G, 9 - 3G, 5 - C-rich)","[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.911, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891];
[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891];
[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.911, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891]","For all three variants,
 
PQS 2 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 hunter

PQS 1 (3G) from G4 Hunter has a left frame-shift as compared to PQS 2 (3G) from QGRS mapper.

PQS 2 (3G) from G4 Hunter has no similarity to PQS from QGRS mapper 
","2 (3G);
2 (3G);
2 (3G)","[1.358, 1.354 (3G)];
[1.358, 1.354 (3G)];
[1.358, 1.354 (3G)]","For all three variants,
 
PQS 2 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 hunter

PQS 1 (3G) from G4 Hunter has a left frame-shift as compared to PQS 2 (3G) from QGRS mapper.

PQS 2 (3G) from G4 Hunter has no similarity to PQS from QGRS mapper 
",,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047
