LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Lnc Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,aka,"G4 Hunter, thres:0.9 TOTAL PQS","G4 Hunter, thres:0.9 2G PQS","G4 Hunter, thres:0.9 3G PQS","G4 Hunter, thres:0.9 4G PQS","G4 Hunter, thres:1.4 TOTAL PQS","G4 Hunter, thres:1.4 2G PQS","G4 Hunter, thres:1.4 3G PQS","G4 Hunter, thres:1.4 4G PQS"
LINC00460,Nasopharyngeal Cancer,"qPCR, Western blot, Luciferase reporter assay, RNAi, other",up-regulated,31414345.0,,2,"NR_034119.2, NR_163477.1","4, 4","4,4","0,0","0,0",VALIDATED,long intergenic non-protein coding RNA 460;HSALNG0099182;NONHSAG014130.2;LINC00460,"2,0","2,0","0,0","0,0","0,0","0,0","0,0","0,0"
LINC00460,Nasopharyngeal Cancer,"RNA-seq, qPCR, Western blot, Luciferase reporter assay, in vitro knockdown",up-regulated,28987345.0,,2,"NR_034119.2, NR_163477.1","4, 4","4,4","0,0","0,0",VALIDATED,long intergenic non-protein coding RNA 460;HSALNG0099182;NONHSAG014130.2;LINC00460,"2,0","2,0","0,0","0,0","0,0","0,0","0,0","0,0"
LINC00467,Head And Neck Squamous Cell Carcinoma,"RT-qPCR, Western blot",up-regulated,32159247.0,Also Known As: C1orf97,1,NR_026761.2,5,5,0,0,VALIDATED,C1orf97,0,0,0,0,0,0,0,0
LINC00472,Tongue Squamous Cell Carcinoma,RNA-seq,differential expression,30755833.0,"Also Known As: P53RRA; C6orf155

PQS 1 obtained in 4th variant when search parameter was set to Min G-Group Size: 2 was replaced by another PQS of same score (by shifting G-Group/Quartet frame) when search parameter was set to Min G-Group Size: 3.
For further consideration, PQS when search parameter was set to Min G-Group Size: 3 was taken.",4,"NR_121612.1, NR_026807.2, NR_121613.1, NR_121614.1","43, 43, 42, 43","41,41,40,41","2,2,2,2","0,0,0,0",VALIDATED,P53RRA; C6orf155,"16,16,16,16","16,16,16,16","0,0,0,0","0,0,0,0","4,4,4,4","4,4,4,4","0,0,0,0","0,0,0,0"
LINC00473,Head And Neck Squamous Cell Carcinoma,"qPCR, Western blot, Microarray, other",up-regulated,30468475.0,Also Known As: LNC473; C6orf176; bA142J11.1,2,"NR_026860.1, NR_026861.1","12, 5","12,5","0,0","0,0",VALIDATED,LNC473; C6orf176; bA142J11.1,"1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
LINC00511,Tongue Squamous Cell Carcinoma,"Microarray, qPCR, Western blot, Luciferase reporter assay etc.",up-regulated,29315846.0,Also Known As: LCAL5; onco-lncRNA-12,1,NR_033876.1,18,16,2,0,VALIDATED,LCAL5; onco-lncRNA-12,7,6,1,0,2,2,0,0
LINC00520,Nasopharyngeal Cancer,qPCR,up-regulated,30898716.0,Also Known As: LASSIE; C14orf34,2,"NR_026796.1, NR_026797.1","13, 13","12,12","1,1","0,0",VALIDATED,LASSIE; C14orf34,"6,6","5,5","1,1","0,0","2,2","2,2","0,0","0,0"
LINC00657,Laryngeal Squamous Cell Cancer,"Microarray, qPCR",down-regulated,30128795.0,Also Known As: LINC00657 (NORAD),1 (NORAD),NR_027451.1 (NORAD),30 (NORAD),25,5,0,VALIDATED (NORAD),LINC00657,19,13,6,0,6,4,2,0
LINC00662,Oral Squamous Cell Carcinoma,"qPCR, Western blot, in vitro knockdown, etc.",up-regulated,30705593.0,,1,NR_027301.1,6,5,1,0,VALIDATED,long intergenic non-protein coding RNA 662;CTC-459F4.2;LINC00662;HSALNG0125113;NONHSAG025376.2;NONHSAG025379.2,0,0,0,0,0,0,0,0
LINC00668,Laryngeal Squamous Cell Cancer,"qPCR, other",up-regulated,30415008.0,,1,NR_034100.1,15,13,2,0,VALIDATED,long intergenic non-protein coding RNA 668;HSALNG0119819;NONHSAG023287.2;LINC00668,5,3,2,0,1,0,1,0
LINC00668,Oral Squamous Cell Carcinoma,"RNAi, Western blot, qPCR, Luciferase reporter assays, RNA pull-down assays",up-regulated,28564590.0,,1,NR_034100.1,15,13,2,0,VALIDATED,long intergenic non-protein coding RNA 668;HSALNG0119819;NONHSAG023287.2;LINC00668,5,3,2,0,1,0,1,0
LINC00673,Tongue Squamous Cell Carcinoma,"qPCR, RNAi, Cell migration and invasion assay, ISH etc.",up-regulated,28039470.0,Also known asSLNCR; SLNCR1; ERRLR01; HILNC75; LUCAIR1; HI-LNC75,5,"NR_137281.2, NR_137280.2, NR_036488.1, NR_152515.1, NR_152516.1","26, 25, 23, 23, 27","24,23,22,22,25","2,2,1,1,2","0,0,0,0,0",VALIDATED,SLNCR; SLNCR1; ERRLR01; HILNC75; LUCAIR1; HI-LNC75,"9,9,7,7,11","7,7,6,6,9","2,2,1,1,2","0,0,0,0,0","1,1,1,1,1","0,0,0,0,0","1,1,1,1,1","0,0,0,0,0"
LINC00886,Laryngeal Cancer,qRT-PCR,down-regulated,32111441.0,,1,NR_038387.1,13,12,1,0,VALIDATED,long intergenic non-protein coding RNA 886;LINC00886;HSALNG0030069;NONHSAG036477.2,6,6,0,0,1,1,0,0
LINC00958,Nasopharyngeal Cancer,"RT-qPCR, Luciferase Reporter Assay, RIP, Western blot analysis",up-regulated,31819474.0,"Also Known As: BLACAT2: LINC00958. Some (older) bladder associated transcript 2 variant 1, 2 and 3 lncRNA ""lncRNA"" ncRNA (complete sequence-MF435912.1, MF435913.1 and MF435914.1 respectively) with PQS- 4, 4, 5 respectively, were also there in result.",1,NR_038904.1,10,10,0,0,VALIDATED,BLACAT2,2,2,0,0,0,0,0,0
LINC00958,Oral Squamous Cell Carcinoma,"qRT-PCR , Luciferase reporter assay , Western blot , RIP , in vitro knockdown etc.",up-regulated,31161900.0,"Also Known As: BLACAT2: LINC00958. Some (older) bladder associated transcript 2 variant 1, 2 and 3 lncRNA ""lncRNA"" ncRNA (complete sequence-MF435912.1, MF435913.1 and MF435914.1 respectively) with PQS- 4, 4, 5 respectively, were also there in result.",1,NR_038904.1,10,10,0,0,VALIDATED,BLACAT2,2,2,0,0,0,0,0,0
LINC00958,Oral Squamous Cell Carcinoma,"qPCR, Western blot, Luciferase reporter assay, other",up-regulated,31442551.0,"Also Known As: BLACAT2: LINC00958. Some (older) bladder associated transcript 2 variant 1, 2 and 3 lncRNA ""lncRNA"" ncRNA (complete sequence-MF435912.1, MF435913.1 and MF435914.1 respectively) with PQS- 4, 4, 5 respectively, were also there in result.",1,NR_038904.1,10,10,0,0,VALIDATED,BLACAT2,2,2,0,0,0,0,0,0
LINC00958,Head And Neck Squamous Cell Carcinoma,"qPCR, Western blot, Luciferase reporter assay, RIP, RNAi, other",up-regulated,31413594.0,"Also Known As: BLACAT2: LINC00958. Some (older) bladder associated transcript 2 variant 1, 2 and 3 lncRNA ""lncRNA"" ncRNA (complete sequence-MF435912.1, MF435913.1 and MF435914.1 respectively) with PQS- 4, 4, 5 respectively, were also there in result.",1,NR_038904.1,10,10,0,0,VALIDATED,BLACAT2,2,2,0,0,0,0,0,0
LINC00963,Head And Neck Cancer,"qPCR, in vitro knockdown",up-regulated,32357409.0,Also Known As: MetaLnc9,1,NR_038955.1,21,20,1,0,VALIDATED,MetaLnc9,6,6,0,0,1,1,0,0
LINC00974,Oral Squamous Cell Carcinoma,"qPCR, Western blot",up-regulated,31702382.0,,1,NR_038442.1,12,12,0,0,VALIDATED,long intergenic non-protein coding RNA 974;NONHSAG021780.2;LINC00974;HSALNG0141637,4,4,0,0,1,1,0,0
LINC01116,Nasopharyngeal Cancer,"qRT-PCR, Western blot",up-regulated,31703161.0,Also Known As: TALNEC2,1,NR_040001.2,2,2,0,0,VALIDATED,TALNEC2,0,0,0,0,0,0,0,0
LINC01116,Head And Neck Squamous Cell Carcinoma,"qPCR, Western blot, other",up-regulated,31452270.0,Also Known As: TALNEC2,1,NR_040001.2,2,2,0,0,VALIDATED,TALNEC2,0,0,0,0,0,0,0,0
LINC01116,Oral Squamous Cell Carcinoma,"qPCR, Western blot, Luciferase reporter assay",up-regulated,31308744.0,Also Known As: TALNEC2,1,NR_040001.2,2,2,0,0,VALIDATED,TALNEC2,0,0,0,0,0,0,0,0
LINC01133,Nasopharyngeal Cancer,"qRT-PCR , Western blot , RIP , RNAi , in vitro knockdown etc.",down-regulated,31106003.0,,1,NR_038849.1,7,7,0,0,VALIDATED,long intergenic non-protein coding RNA 1133;lncRNA-PAGBC;prognosis-associated gallbladder cancer lncRNA;LINC01133;HSALNG0007801;NONHSAG003198.2,1,1,0,0,0,0,0,0
LINC01133,Oral Squamous Cell Carcinoma,"qPCR, Western blot, other",down-regulated,30332510.0,,1,NR_038849.1,7,7,0,0,VALIDATED,long intergenic non-protein coding RNA 1133;lncRNA-PAGBC;prognosis-associated gallbladder cancer lncRNA;LINC01133;HSALNG0007801;NONHSAG003198.2,1,1,0,0,0,0,0,0
LINC01234,Oral Squamous Cell Carcinoma,"RT-qPCR, Western blot",up-regulated,32041570.0,Also Known As: LCAL84; onco-lncRNA-32,2,"NR_110026.1, NR_110025.1","8, 9","7,8","1,1","0,0",VALIDATED,LCAL84; onco-lncRNA-32,"6,6","6,6","0,0","0,0","0,0","0,0","0,0","0,0"
LINCRNA-p21,Head And Neck Cancer,qPCR etc.,down-regulated,26482616.0,"Also Known As: linc-p21; TRP53COR1; lincRNA-p21

Some (older) hLincRNA-p21_SIsoE1 lncRNA and LIsoE2 lncRNA (TP53COR1); ""lncRNA"" ncRNA (complete sequence-KU881769.1 and KU881768.1 respectively; note=""tumor protein p53 pathway corepressor 1 transcript variant SIsoE1 and LIsoE2"") were there in result.




Complement mentioned in gene, ncRNA, exon, repeat region feature details.

Annotation information: not in current annotation release.
",2 [TP53COR1 (hLincRNA-p21_SIsoE1 and hLincRNA-p21_LIsoE2)],"TP53COR1 (older) (hLincRNA-p21_SIsoE1 and hLincRNA-p21_LIsoE2) (KU881769.1, KU881768.1 respectively)","18, 19 [TP53COR1 (hLincRNA-p21_SIsoE1 and hLincRNA-p21_LIsoE2)]",,,,,,,,,,,,,
LINCRNA-p21,Head And Neck Squamous Cell Carcinoma,qPCR,down-regulated,30857539.0,"Also Known As: linc-p21; TRP53COR1; lincRNA-p21

Some (older) hLincRNA-p21_SIsoE1 lncRNA and LIsoE2 lncRNA (TP53COR1); ""lncRNA"" ncRNA (complete sequence-KU881769.1 and KU881768.1 respectively; note=""tumor protein p53 pathway corepressor 1 transcript variant SIsoE1 and LIsoE2"") were there in result.




Complement mentioned in gene, ncRNA, exon, repeat region feature details.

Annotation information: not in current annotation release.
",2 [TP53COR1 (hLincRNA-p21_SIsoE1 and hLincRNA-p21_LIsoE2)],"TP53COR1 (older) (hLincRNA-p21_SIsoE1 and hLincRNA-p21_LIsoE2) (KU881769.1, KU881768.1 respectively)","18, 19 [TP53COR1 (hLincRNA-p21_SIsoE1 and hLincRNA-p21_LIsoE2)]",,,,,,,,,,,,,
lnc-C22orf32-1,Nasopharyngeal Cancer,qPCR,up-regulated,28588717.0,Also Known As: C22orf32-1; lnc-C22orf32-1,3,"NR_120595.1, NR_120596.1, 
NR_120597.1","13,9,3","12,8,2","1,1,1","0,0,0",VALIDATED,C22orf32-1; lnc-C22orf32-1,"8,6,3","7,5,2","1,1,1","0,0,0","1,0,0","0,0,0","1,0,0","0,0,0"
lnc-C22orf32-1,Nasopharyngeal Cancer,"Microarray, qPCR etc.",up-regulated,24822202.0,Also Known As: C22orf32-1; lnc-C22orf32-1,3,"NR_120595.1, NR_120596.1, 
NR_120597.1","13,9,3","12,8,2","1,1,1","0,0,0",VALIDATED,C22orf32-1; lnc-C22orf32-1,"8,6,3","7,5,2","1,1,1","0,0,0","1,0,0","0,0,0","1,0,0","0,0,0"
lnc-KCTD6-3,Tongue Cancer,"RNA-seq, qPCR etc.",down-regulated,25904139.0,Also Known As: lnc-KCTD6-3,1,NR_134853.1,7,7,0,0,VALIDATED,lnc-KCTD6-3,2,2,0,0,0,0,0,0
lnc-KCTD6-3,Laryngeal Cancer,"RNA-seq, qPCR etc.",down-regulated,25904139.0,Also Known As: lnc-KCTD6-3,1,NR_134853.1,7,7,0,0,VALIDATED,lnc-KCTD6-3,2,2,0,0,0,0,0,0
lncAROD,Head And Neck Squamous Cell Carcinoma,"qPCR, Western blot, RIP etc",up-regulated,32216017.0,Also Known As: A-ROD; LINC01468; lnc-MBL2-4,2,"NR_120641.1, NR_120642.1","4,6","4,6","0,0","0,0",VALIDATED,A-ROD; LINC01468; lnc-MBL2-4,"0,1","0,1","0,0","0,0","0,0","0,0","0,0","0,0"
lncHIFCAR,Oral Cancer,"qPCR, Western blot, Luciferase reporter assay, RIP etc.",up-regulated,28639619.0,Also Known As: MIR31HG; hsa-lnc-31,4,"NR_027054.2, NR_152877.1,
NR_152878.1, NR_152879.1","20,13,12,19","19,13,12,18","1,0,0,1","0,0,0,0",REVIEWED,LncHIFCAR; hsa-lnc-31,"8,3,3,8","7,3,3,7","1,0,0,1","0,0,0,0","1,0,0,1","0,0,0,0","1,0,0,1","0,0,0,0"
lncRNA-LET,Nasopharyngeal Cancer,"qPCR, Western blot, RIP etc.",down-regulated,28615956.0,,1,NR_103844.1,13,13,0,0,VALIDATED,lncRNA-LET,5,5,0,0,1,1,0,0
lncRNA-LET,Nasopharyngeal Cancer,"qPCR, RNAi, Western blot etc.",down-regulated,26243049.0,,1,NR_103844.1,13,13,0,0,VALIDATED,lncRNA-LET,5,5,0,0,1,1,0,0
lncRNA-NEF,Laryngeal Squamous Cell Cancer,"qRT-PCR , Western blot etc.",down-regulated,31186702.0,Also Known As: LINC01384; lncRNA-NEF,1,NR_109883.1,4,4,0,0,VALIDATED,LINC01384; lncRNA-NEF,1,1,0,0,0,0,0,0
lncRNA-SRA1,Laryngeal Squamous Cell Cancer,qPCR etc.,down-regulated,25257554.0,Also Known As: lncRNA00673; LINC00673 [mentioned in qRT-PCR primers table in paper for lncRNA00673 (PubMed-29077173)]; SLNCR; SLNCR1; ERRLR01; HILNC75; LUCAIR1; HI-LNC75,5 (LINC00673),"LINC00673 (NR_137281.2, NR_137280.2, NR_036488.1, NR_152515.1, NR_152516.1)","26, 25, 23, 23, 27 (LINC00673)","24,23,22,22,25","2,2,1,1,2","0,0,0,0,0",REVIEWED (LINC00673),SLNCR; SLNCR1; ERRLR01; HILNC75; LUCAIR1; HI-LNC75,"9,9,7,7,11","7,7,6,6,9","2,2,1,1,2","0,0,0,0,0","1,1,1,1,1","0,0,0,0,0","1,1,1,1,1","0,0,0,0,0"
LOC100129148,Nasopharyngeal Cancer,"qPCR, RNAi, Western blot, Luciferase reporter assay, CCK-8 assay etc.",up-regulated,28328537.0,,1,NR_033999.1,3,3,0,0,VALIDATED,uncharacterized LOC100129148;HSALNG0061734;lnc-KLRG2-2;NONHSAG048937.2,0,0,0,0,0,0,0,0
LOC553103,Nasopharyngeal Cancer,"Microarray, qPCR, RNAi, Luciferase reporter assay etc.",up-regulated,27584792.0,Also Known As: SLC22A5-AS1,1,NR_110997.1,13,11,2,0,VALIDATED,SLC22A5-AS1,6,6,0,0,1,1,0,0
LOC554202,Laryngeal Squamous Cell Cancer,"qPCR, Western blot, RNAi etc.",up-regulated,29737563.0,"Also Known As: LOC554202; MIR31HG; LncHIFCAR; hsa-lnc-31

LOC554202 mentioned in title of paper (PubMed-22289355 and others) referred in MIR31HG_variants (NR_027054.2, NR_152877.1, NR_152878.1, NR_152879.1).

Aliases for MIR31HG Gene (From GeneCards database - GCID: GC09M021439)
MIR31 Host Gene
MIR31HG
MIR31 Host Gene (Non-Protein Coding)
Hsa-Lnc-31
LncHIFCAR
Long Noncoding HIF-1alpha Co-Activating RNA
Long Noncoding HIF-1I+/- Co-Activating RNA
Long Noncoding HIF-1α Co-Activating RNA
NONHSAG051889.2
HSALNG0070363
LOC554202

Alias symbols for MIR31HG (From HGNC databse - HGNC ID - HGNC:37187)
LOC554202
hsa-lnc-31
LncHIFCAR
MIR31 host gene (non-protein coding)
long noncoding HIF-1α co-activating RNA

Gene Synonyms for MIR31HG (From Ensembl database - Ensembl version - ENSG00000171889.5)
LOC554202, LncHIFCAR, hsa-lnc-31

mRNA clones (cDNA) sequences (BC021861.1 and BC011715.2) available, not for lncRNA.",4 (MIR31HG),"MIR31HG (NR_027054.2, NR_152877.1, NR_152878.1, NR_152879.1)","20, 13, 12, 19 (MIR31HG)","19,13,12,18","1,0,0,1","0,0,0,0",REVIEWED (MIR31HG),LncHIFCAR; hsa-lnc-31,"8,3,3,8","7,3,3,7","1,0,0,1","0,0,0,0","1,0,0,1","0,0,0,0","1,0,0,1","0,0,0,0"
LUCAT1,Oral Squamous Cell Carcinoma,"qPCR, Western blot, in vitro knockdown",down-regulated,31210306.0,Also Known As: SCAL1; SCAT5,2,"NR_103548.1, NR_103549.1","3, 2","3,2","0,0","0,0",VALIDATED,SCAL1; SCAT5,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
MALAT1,Head And Neck Squamous Cell Carcinoma,"qPCR, in vitro knockdown",up-regulated,32366409.0,"Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047

Some (older-not checked for PQS) scRNA mascRNA (MALAT1 gene) ""scRNA"" ncRNA (TPA: HG975416.1) was also there in result.

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.",3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46,47,47","7,7,6","0,0,0",REVIEWED,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047,"28,28,27","23,23,23","5,5,4","0,0,0","17,17,16","13,13,12","4,4,4","0,0,0"
MALAT1,Laryngeal And Hypopharyngeal Carcinoma,"qPCR, RNAi etc",up-regulated,31792655.0,"Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047

Some (older-not checked for PQS) scRNA mascRNA (MALAT1 gene) ""scRNA"" ncRNA (TPA: HG975416.1) was also there in result.

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.",3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46,47,47","7,7,6","0,0,0",REVIEWED,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047,"28,28,27","23,23,23","5,5,4","0,0,0","17,17,16","13,13,12","4,4,4","0,0,0"
MALAT1,Tongue Squamous Cell Carcinoma,"qPCR, Luciferase reporter assay, Western blot",up-regulated,30863103.0,"Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047

Some (older-not checked for PQS) scRNA mascRNA (MALAT1 gene) ""scRNA"" ncRNA (TPA: HG975416.1) was also there in result.

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.",3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46,47,47","7,7,6","0,0,0",REVIEWED,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047,"28,28,27","23,23,23","5,5,4","0,0,0","17,17,16","13,13,12","4,4,4","0,0,0"
MALAT1,Laryngeal Squamous Cell Cancer,"RT-PCR, Western blotting",up-regulated,31837057.0,"Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047

Some (older-not checked for PQS) scRNA mascRNA (MALAT1 gene) ""scRNA"" ncRNA (TPA: HG975416.1) was also there in result.

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.",3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46,47,47","7,7,6","0,0,0",REVIEWED,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047,"28,28,27","23,23,23","5,5,4","0,0,0","17,17,16","13,13,12","4,4,4","0,0,0"
MALAT1,Head And Neck Squamous Cell Carcinoma,"qPCR, Western blot, Luciferase reporter assay, ChIP",up-regulated,30118844.0,"Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047

Some (older-not checked for PQS) scRNA mascRNA (MALAT1 gene) ""scRNA"" ncRNA (TPA: HG975416.1) was also there in result.

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.",3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46,47,47","7,7,6","0,0,0",REVIEWED,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047,"28,28,27","23,23,23","5,5,4","0,0,0","17,17,16","13,13,12","4,4,4","0,0,0"
MALAT1,Tongue Squamous Cell Carcinoma,"qPCR, Western blot, etc.",up-regulated,30657561.0,"Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047

Some (older-not checked for PQS) scRNA mascRNA (MALAT1 gene) ""scRNA"" ncRNA (TPA: HG975416.1) was also there in result.

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.",3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46,47,47","7,7,6","0,0,0",REVIEWED,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047,"28,28,27","23,23,23","5,5,4","0,0,0","17,17,16","13,13,12","4,4,4","0,0,0"
MALAT1,Oral Squamous Cell Carcinoma,qPCR,up-regulated,31360193.0,"Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047

Some (older-not checked for PQS) scRNA mascRNA (MALAT1 gene) ""scRNA"" ncRNA (TPA: HG975416.1) was also there in result.

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.",3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46,47,47","7,7,6","0,0,0",REVIEWED,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047,"28,28,27","23,23,23","5,5,4","0,0,0","17,17,16","13,13,12","4,4,4","0,0,0"
MALAT1,Laryngeal Squamous Cell Cancer,qPCR etc.,up-regulated,25257554.0,"Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047

Some (older-not checked for PQS) scRNA mascRNA (MALAT1 gene) ""scRNA"" ncRNA (TPA: HG975416.1) was also there in result.

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.",3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46,47,47","7,7,6","0,0,0",REVIEWED,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047,"28,28,27","23,23,23","5,5,4","0,0,0","17,17,16","13,13,12","4,4,4","0,0,0"
MALAT1,Tongue Cancer,"qPCR, RNAi, Western blot, Luciferase reporter assay, MTT assay etc.",up-regulated,28260102.0,"Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047

Some (older-not checked for PQS) scRNA mascRNA (MALAT1 gene) ""scRNA"" ncRNA (TPA: HG975416.1) was also there in result.

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.",3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46,47,47","7,7,6","0,0,0",REVIEWED,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047,"28,28,27","23,23,23","5,5,4","0,0,0","17,17,16","13,13,12","4,4,4","0,0,0"
MALAT1,Oral Squamous Cell Carcinoma,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP etc.",up-regulated,28926115.0,"Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047

Some (older-not checked for PQS) scRNA mascRNA (MALAT1 gene) ""scRNA"" ncRNA (TPA: HG975416.1) was also there in result.

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.",3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46,47,47","7,7,6","0,0,0",REVIEWED,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047,"28,28,27","23,23,23","5,5,4","0,0,0","17,17,16","13,13,12","4,4,4","0,0,0"
MALAT1,Tongue Squamous Cell Carcinoma,"qPCR, RNAi, Western blot, Cell proliferation assay etc.",up-regulated,27586393.0,"Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047

Some (older-not checked for PQS) scRNA mascRNA (MALAT1 gene) ""scRNA"" ncRNA (TPA: HG975416.1) was also there in result.

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.",3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46,47,47","7,7,6","0,0,0",REVIEWED,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047,"28,28,27","23,23,23","5,5,4","0,0,0","17,17,16","13,13,12","4,4,4","0,0,0"
MALAT1,Tongue Squamous Cell Carcinoma,"qPCR, RNAi, Western blot etc.",up-regulated,27353727.0,"Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047

Some (older-not checked for PQS) scRNA mascRNA (MALAT1 gene) ""scRNA"" ncRNA (TPA: HG975416.1) was also there in result.

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.",3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46,47,47","7,7,6","0,0,0",REVIEWED,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047,"28,28,27","23,23,23","5,5,4","0,0,0","17,17,16","13,13,12","4,4,4","0,0,0"
MALAT1,Oral Squamous Cell Carcinoma,"qPCR, RNAi, Western blot etc.",up-regulated,26522444.0,"Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047

Some (older-not checked for PQS) scRNA mascRNA (MALAT1 gene) ""scRNA"" ncRNA (TPA: HG975416.1) was also there in result.

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.",3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46,47,47","7,7,6","0,0,0",REVIEWED,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047,"28,28,27","23,23,23","5,5,4","0,0,0","17,17,16","13,13,12","4,4,4","0,0,0"
MALAT1,Nasopharyngeal Cancer,"qPCR, Western blot, Luciferase reporter assay etc.",up-regulated,28857668.0,"Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047

Some (older-not checked for PQS) scRNA mascRNA (MALAT1 gene) ""scRNA"" ncRNA (TPA: HG975416.1) was also there in result.

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.",3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46,47,47","7,7,6","0,0,0",REVIEWED,HCN; NEAT2; PRO2853; LINC00047; NCRNA00047,"28,28,27","23,23,23","5,5,4","0,0,0","17,17,16","13,13,12","4,4,4","0,0,0"
