LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,Total No. of PQS.1,G4Hunter Scores of PQS,Similarity between PQS from QGRS mapper vs PQS from G4 hunter,Total No. of PQS.2,G4Hunter Scores of PQS.1,Similarity between PQS from QGRS mapper vs PQS from G4 hunter.1
MALAT1,cervical cancer,"qPCR, ELISA etc.",up-regulated,27184657,Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047,3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46, 47, 47","7, 7, 6

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.","0, 0, 0",REVIEWED,"31 (17 - 2G, 9 - 3G, 5 - C-rich);
30 (16 - 2G, 9 - 3G, 5 - C-rich);
31 (1- - 2G, 9 - 3G, 5 - C-rich)","[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.911, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891];
[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891];
[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.911, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891]","For all three variants,
 
PQS 2 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 hunter

PQS 1 (3G) from G4 Hunter has a left frame-shift as compared to PQS 2 (3G) from QGRS mapper.

PQS 2 (3G) from G4 Hunter has no similarity to PQS from QGRS mapper 
","2 (3G);
2 (3G);
2 (3G)","[1.358, 1.354 (3G)];
[1.358, 1.354 (3G)];
[1.358, 1.354 (3G)]","For all three variants,
 
PQS 2 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 hunter

PQS 1 (3G) from G4 Hunter has a left frame-shift as compared to PQS 2 (3G) from QGRS mapper.

PQS 2 (3G) from G4 Hunter has no similarity to PQS from QGRS mapper 
"
MALAT1,cervical cancer,qPCR etc.,down-regulated,22487937,Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047,3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46, 47, 47","7, 7, 6

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.","0, 0, 0",REVIEWED,"31 (17 - 2G, 9 - 3G, 5 - C-rich);
30 (16 - 2G, 9 - 3G, 5 - C-rich);
31 (1- - 2G, 9 - 3G, 5 - C-rich)","[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.911, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891];
[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891];
[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.911, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891]","For all three variants,
 
PQS 2 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 hunter

PQS 1 (3G) from G4 Hunter has a left frame-shift as compared to PQS 2 (3G) from QGRS mapper.

PQS 2 (3G) from G4 Hunter has no similarity to PQS from QGRS mapper 
","2 (3G);
2 (3G);
2 (3G)","[1.358, 1.354 (3G)];
[1.358, 1.354 (3G)];
[1.358, 1.354 (3G)]","For all three variants,
 
PQS 2 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 hunter

PQS 1 (3G) from G4 Hunter has a left frame-shift as compared to PQS 2 (3G) from QGRS mapper.

PQS 2 (3G) from G4 Hunter has no similarity to PQS from QGRS mapper 
"
MALAT1,cervical cancer,qPCR etc.,up-regulated,20213048,Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047,3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46, 47, 47","7, 7, 6

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.","0, 0, 0",REVIEWED,"31 (17 - 2G, 9 - 3G, 5 - C-rich);
30 (16 - 2G, 9 - 3G, 5 - C-rich);
31 (1- - 2G, 9 - 3G, 5 - C-rich)","[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.911, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891];
[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891];
[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.911, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891]","For all three variants,
 
PQS 2 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 hunter

PQS 1 (3G) from G4 Hunter has a left frame-shift as compared to PQS 2 (3G) from QGRS mapper.

PQS 2 (3G) from G4 Hunter has no similarity to PQS from QGRS mapper 
","2 (3G);
2 (3G);
2 (3G)","[1.358, 1.354 (3G)];
[1.358, 1.354 (3G)];
[1.358, 1.354 (3G)]","For all three variants,
 
PQS 2 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 hunter

PQS 1 (3G) from G4 Hunter has a left frame-shift as compared to PQS 2 (3G) from QGRS mapper.

PQS 2 (3G) from G4 Hunter has no similarity to PQS from QGRS mapper 
"
MALAT1,cervical cancer,"qPCR, Northern blot etc.",differential expression,22491206,Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047,3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46, 47, 47","7, 7, 6

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.","0, 0, 0",REVIEWED,"31 (17 - 2G, 9 - 3G, 5 - C-rich);
30 (16 - 2G, 9 - 3G, 5 - C-rich);
31 (1- - 2G, 9 - 3G, 5 - C-rich)","[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.911, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891];
[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891];
[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.911, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891]","For all three variants,
 
PQS 2 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 hunter

PQS 1 (3G) from G4 Hunter has a left frame-shift as compared to PQS 2 (3G) from QGRS mapper.

PQS 2 (3G) from G4 Hunter has no similarity to PQS from QGRS mapper 
","2 (3G);
2 (3G);
2 (3G)","[1.358, 1.354 (3G)];
[1.358, 1.354 (3G)];
[1.358, 1.354 (3G)]","For all three variants,
 
PQS 2 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 hunter

PQS 1 (3G) from G4 Hunter has a left frame-shift as compared to PQS 2 (3G) from QGRS mapper.

PQS 2 (3G) from G4 Hunter has no similarity to PQS from QGRS mapper 
"
MALAT1,cervical cancer,"qPCR, RNAi, Western blot etc.",up-regulated,26798987,Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047,3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46, 47, 47","7, 7, 6

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.","0, 0, 0",REVIEWED,"31 (17 - 2G, 9 - 3G, 5 - C-rich);
30 (16 - 2G, 9 - 3G, 5 - C-rich);
31 (1- - 2G, 9 - 3G, 5 - C-rich)","[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.911, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891];
[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891];
[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.911, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891]","For all three variants,
 
PQS 2 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 hunter

PQS 1 (3G) from G4 Hunter has a left frame-shift as compared to PQS 2 (3G) from QGRS mapper.

PQS 2 (3G) from G4 Hunter has no similarity to PQS from QGRS mapper 
","2 (3G);
2 (3G);
2 (3G)","[1.358, 1.354 (3G)];
[1.358, 1.354 (3G)];
[1.358, 1.354 (3G)]","For all three variants,
 
PQS 2 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 hunter

PQS 1 (3G) from G4 Hunter has a left frame-shift as compared to PQS 2 (3G) from QGRS mapper.

PQS 2 (3G) from G4 Hunter has no similarity to PQS from QGRS mapper 
"
MALAT1,cervical cancer,"qPCR, RNAi, Luciferase reporter assay, MTT assay etc.",up-regulated,26400521,Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047,3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46, 47, 47","7, 7, 6

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.","0, 0, 0",REVIEWED,"31 (17 - 2G, 9 - 3G, 5 - C-rich);
30 (16 - 2G, 9 - 3G, 5 - C-rich);
31 (1- - 2G, 9 - 3G, 5 - C-rich)","[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.911, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891];
[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891];
[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.911, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891]","For all three variants,
 
PQS 2 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 hunter

PQS 1 (3G) from G4 Hunter has a left frame-shift as compared to PQS 2 (3G) from QGRS mapper.

PQS 2 (3G) from G4 Hunter has no similarity to PQS from QGRS mapper 
","2 (3G);
2 (3G);
2 (3G)","[1.358, 1.354 (3G)];
[1.358, 1.354 (3G)];
[1.358, 1.354 (3G)]","For all three variants,
 
PQS 2 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 hunter

PQS 1 (3G) from G4 Hunter has a left frame-shift as compared to PQS 2 (3G) from QGRS mapper.

PQS 2 (3G) from G4 Hunter has no similarity to PQS from QGRS mapper 
"
MALAT1,cervical cancer,"qPCR, Cell proliferation assay etc.",up-regulated,26854446,Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047,3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46, 47, 47","7, 7, 6

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.","0, 0, 0",REVIEWED,"31 (17 - 2G, 9 - 3G, 5 - C-rich);
30 (16 - 2G, 9 - 3G, 5 - C-rich);
31 (1- - 2G, 9 - 3G, 5 - C-rich)","[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.911, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891];
[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891];
[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.911, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891]","For all three variants,
 
PQS 2 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 hunter

PQS 1 (3G) from G4 Hunter has a left frame-shift as compared to PQS 2 (3G) from QGRS mapper.

PQS 2 (3G) from G4 Hunter has no similarity to PQS from QGRS mapper 
","2 (3G);
2 (3G);
2 (3G)","[1.358, 1.354 (3G)];
[1.358, 1.354 (3G)];
[1.358, 1.354 (3G)]","For all three variants,
 
PQS 2 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 hunter

PQS 1 (3G) from G4 Hunter has a left frame-shift as compared to PQS 2 (3G) from QGRS mapper.

PQS 2 (3G) from G4 Hunter has no similarity to PQS from QGRS mapper 
"
MALAT1,cervical cancer,qPCR etc.,up-regulated,24932303,Also Known As: HCN; NEAT2; PRO2853; LINC00047; NCRNA00047,3,"NR_002819.4, NR_144567.1, NR_144568.1","53, 54, 53","46, 47, 47","7, 7, 6

PQS 1 obtained in 1st variant was replaced by another PQS of same score (by shifting a G-Group within the same G-Group/Quartet frame) in 2nd and 3rd variants.","0, 0, 0",REVIEWED,"31 (17 - 2G, 9 - 3G, 5 - C-rich);
30 (16 - 2G, 9 - 3G, 5 - C-rich);
31 (1- - 2G, 9 - 3G, 5 - C-rich)","[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.911, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891];
[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891];
[0.851, 0.898, 0.891, 0.852, 0.727, 1.019, 0.824, 0.854, 1.119, 0.816, -0.826, 0.857, 0.824, 0.872, 0.911, 0.731, 0.803, 0.698, 0.717, 0.681, 0.738, 0.793, 0.911, 0.65, 0.911, -0.911, -0.911, -0.808, -1, 0.913, 0.891]","For all three variants,
 
PQS 2 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 hunter

PQS 1 (3G) from G4 Hunter has a left frame-shift as compared to PQS 2 (3G) from QGRS mapper.

PQS 2 (3G) from G4 Hunter has no similarity to PQS from QGRS mapper 
","2 (3G);
2 (3G);
2 (3G)","[1.358, 1.354 (3G)];
[1.358, 1.354 (3G)];
[1.358, 1.354 (3G)]","For all three variants,
 
PQS 2 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 hunter

PQS 1 (3G) from G4 Hunter has a left frame-shift as compared to PQS 2 (3G) from QGRS mapper.

PQS 2 (3G) from G4 Hunter has no similarity to PQS from QGRS mapper 
"
MCM3AP-AS1,cervical squamous cell carcinoma,RT-qPCR,down-regulated,31985002,Also known as: C21orf85; MCM3APAS; MCM3AP-AS; MCM3APASB; NCRNA00031,4,"NR_110565.1, NR_002776.4,NR_110566.1,NR_110567.1","9,9,10,11","9,9,10,11","0,0,0,0","0,0,0,0",VALIDATED,"2 (C-rich);
1 (C-rich);
0
3 (2G)","[-0.829, -0.911 (C-rich)]

[-0.911 (C-rich)];

[0.855, 0.933, 0.911 ()]",,,,
MEG3,cervical cancer,qPCR,down-regulated,30174437,"Also Known As: GTL2; FP504; prebp1; PRO0518; PRO2160; LINC00023; NCRNA00023; onco-lncRNA-83
","15
(11th Variant not available)
(Total=16)","NR_002766.2, NR_003530.2, NR_003531.3, NR_033358.1, NR_033359.1, NR_033360.1, NR_046464.1, NR_046465.2, NR_046466.1, NR_046467.1, _____, NR_046469.1, NR_046470.2, NR_046471.1, NR_046472.1, NR_046473.1","16, 19, 18, 17, 17, 17, 17, 17, 17, 18, ___, 17, 19, 17, 18, 93","14, 17, 16, 15, 15, 15, 15, 15, 15, 16, ___, 15, 17, 15, 16, 81","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, ___, 2, 2, 2, 2, 12
","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, ___, 0, 0, 0, 0, 0",REVIEWED,"4 (2 - 2G, 2 - C-rich);
4 (2 - 2G, 2 - C-rich);
9 (2 - 2G, 7 - C-rich);
4 (2 - 2G, 2 - C-rich);
9 (2 - 2G, 7 - C-rich);
4 (2 - 2G, 2 - C-rich);
9 (2 - 2G, 7 - C-rich);
4 (2 - 2G, 2 - C-rich);
4 (2 - 2G, 2 - C-rich);
4 (2 - 2G, 2 - C-rich);
____;
9 (2 - 2G, 7 - C-rich);
8 (2 - 2G, 6 - C-rich);
4 (2 - 2G, 2 - C-rich);
4 (2 - 2G, 2 - C-rich);
20 (19 - 2G, 1 - C-rich)","[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.911, -0.885, -0.918, -0.848, -0.911, -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.911, -0.885, -0.918, -0.848, -0.911, -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.911, -0.885, -0.918, -0.848, -0.911, -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

_____;

[0.911, 0.894 (2G); -0.911, -0.885, -0.918, -0.848, -0.911, -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.885, -0.918, -0.848, -0.911, -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894, 0.915, -0.911, 0.87, 0.891, 0.829, 0.962, 0.877,  0.821, 0.911, 0.843, 0.851, 0.798, 0.917, 0.911, 0.911, 0.849, 0.842]",No similarity to PQS (2G) from QGRS mapper,"0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
___;
0;
0;
0;
0;
5 (3G)","0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
___;
0;
0;
0;
0;
[1.23, 1.396, 1.245, 1.422, 1.308 (3G)]","In Variant 16:

PQS 7 (3G) from QGRS mapper is similar to / a part of PQS 1, 2 (3G) from G4 hunter

PQS 2 (3G) from G4 Hunter has a left frame-shift as compared to PQS 7 (3G) from QGRS mapper.

PQS 8 (3G) from QGRS mapper is similar to / a part of PQS 3 (3G) from G4 hunter

PQS 3 (3G) from G4 Hunter has a left frame-shift as compared to PQS 8 (3G) from QGRS mapper.
 
By looking at  PQS 4, 5 (3G) from G4 hunter, it appears that at a time only 1 GQ can be formed as both PQS have few common G-tracts due to overlap amongst all of these PQS."
MEG3,cervical cancer,"qPCR, Western blot, Luciferase reporter assay, RIP",down-regulated,31320837,"Also Known As: GTL2; FP504; prebp1; PRO0518; PRO2160; LINC00023; NCRNA00023; onco-lncRNA-83
","15
(11th Variant not available)
(Total=16)","NR_002766.2, NR_003530.2, NR_003531.3, NR_033358.1, NR_033359.1, NR_033360.1, NR_046464.1, NR_046465.2, NR_046466.1, NR_046467.1, _____, NR_046469.1, NR_046470.2, NR_046471.1, NR_046472.1, NR_046473.1","16, 19, 18, 17, 17, 17, 17, 17, 17, 18, ___, 17, 19, 17, 18, 93","14, 17, 16, 15, 15, 15, 15, 15, 15, 16, ___, 15, 17, 15, 16, 81","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, ___, 2, 2, 2, 2, 12
","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, ___, 0, 0, 0, 0, 0",REVIEWED,"4 (2 - 2G, 2 - C-rich);
4 (2 - 2G, 2 - C-rich);
9 (2 - 2G, 7 - C-rich);
4 (2 - 2G, 2 - C-rich);
9 (2 - 2G, 7 - C-rich);
4 (2 - 2G, 2 - C-rich);
9 (2 - 2G, 7 - C-rich);
4 (2 - 2G, 2 - C-rich);
4 (2 - 2G, 2 - C-rich);
4 (2 - 2G, 2 - C-rich);
____;
9 (2 - 2G, 7 - C-rich);
8 (2 - 2G, 6 - C-rich);
4 (2 - 2G, 2 - C-rich);
4 (2 - 2G, 2 - C-rich);
20 (19 - 2G, 1 - C-rich)","[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.911, -0.885, -0.918, -0.848, -0.911, -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.911, -0.885, -0.918, -0.848, -0.911, -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.911, -0.885, -0.918, -0.848, -0.911, -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

_____;

[0.911, 0.894 (2G); -0.911, -0.885, -0.918, -0.848, -0.911, -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.885, -0.918, -0.848, -0.911, -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894, 0.915, -0.911, 0.87, 0.891, 0.829, 0.962, 0.877,  0.821, 0.911, 0.843, 0.851, 0.798, 0.917, 0.911, 0.911, 0.849, 0.842]",No similarity to PQS (2G) from QGRS mapper,"0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
___;
0;
0;
0;
0;
5 (3G)","0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
___;
0;
0;
0;
0;
[1.23, 1.396, 1.245, 1.422, 1.308 (3G)]","In Variant 16:

PQS 7 (3G) from QGRS mapper is similar to / a part of PQS 1, 2 (3G) from G4 hunter

PQS 2 (3G) from G4 Hunter has a left frame-shift as compared to PQS 7 (3G) from QGRS mapper.

PQS 8 (3G) from QGRS mapper is similar to / a part of PQS 3 (3G) from G4 hunter

PQS 3 (3G) from G4 Hunter has a left frame-shift as compared to PQS 8 (3G) from QGRS mapper.
 
By looking at  PQS 4, 5 (3G) from G4 hunter, it appears that at a time only 1 GQ can be formed as both PQS have few common G-tracts due to overlap amongst all of these PQS."
