LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,Total No. of PQS.1,G4Hunter Scores of PQS,Similarity between PQS from QGRS mapper vs PQS from G4 hunter,Total No. of PQS.2,G4Hunter Scores of PQS.1,Similarity between PQS from QGRS mapper vs PQS from G4 hunter.1
MEG3,prostate cancer,"qPCR, ISH etc.",down-regulated,14602737,"Also Known As: GTL2; FP504; prebp1; PRO0518; PRO2160; LINC00023; NCRNA00023; onco-lncRNA-83

Sequence not available for 11th variant.

Some (older-not checked for PQS) Long non-coding RNA containing retained intron meg3 (MEG3 gene); and maternally expressed 3 transcript variant lncRNA (MEG3) ""lncRNA"" ncRNA (TPA: HG975417.1 and complete sequence - MH929320.1 respectively) were also there in result.

Some (older-not checked for PQS) MEG3 isoforms ncRNA ""other"" ncRNA (complete sequence, alternatively spliced) were also there in result.

PQS 7 and 9 obtained in 16th Variant when search parameter was set to Min G-Group Size: 2 was replaced by another PQSs of same scores (by shifting G-Group/Quartet frame) when search parameter was set to Min G-Group Size: 3.
For further consideration, PQS when search parameter was set to Min G-Group Size: 2 was taken.","15
(11th Variant not available)
(Total=16)","NR_002766.2, NR_003530.2, NR_003531.3, NR_033358.1, NR_033359.1, NR_033360.1, NR_046464.1, NR_046465.2, NR_046466.1, NR_046467.1, _____, NR_046469.1, NR_046470.2, NR_046471.1, NR_046472.1, NR_046473.1","16, 19, 18, 17, 17, 17, 17, 17, 17, 18, ___, 17, 19, 17, 18, 93","14, 17, 16, 15, 15, 15, 15, 15, 15, 16, ___, 15, 17, 15, 16, 81","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, ___, 2, 2, 2, 2, 12

PQS 1 is same in all variants.
PQS 2 is absent in 16th variant.
PQS 2-12 of 16th variant is different from other variants.","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, ___, 0, 0, 0, 0, 0",REVIEWED,"4 (2 - 2G, 2 - C-rich);
4 (2 - 2G, 2 - C-rich);
9 (2 - 2G, 7 - C-rich);
4 (2 - 2G, 2 - C-rich);
9 (2 - 2G, 7 - C-rich);
4 (2 - 2G, 2 - C-rich);
9 (2 - 2G, 7 - C-rich);
4 (2 - 2G, 2 - C-rich);
4 (2 - 2G, 2 - C-rich);
4 (2 - 2G, 2 - C-rich);
____;
9 (2 - 2G, 7 - C-rich);
8 (2 - 2G, 6 - C-rich);
4 (2 - 2G, 2 - C-rich);
4 (2 - 2G, 2 - C-rich);
20 (19 - 2G, 1 - C-rich)","[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.911, -0.885, -0.918, -0.848, -0.911, -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.911, -0.885, -0.918, -0.848, -0.911, -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.911, -0.885, -0.918, -0.848, -0.911, -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

_____;

[0.911, 0.894 (2G); -0.911, -0.885, -0.918, -0.848, -0.911, -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.885, -0.918, -0.848, -0.911, -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894, 0.915, -0.911, 0.87, 0.891, 0.829, 0.962, 0.877,  0.821, 0.911, 0.843, 0.851, 0.798, 0.917, 0.911, 0.911, 0.849, 0.842]",No similarity to PQS (2G) from QGRS mapper,"0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
___;
0;
0;
0;
0;
5 (3G)","0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
___;
0;
0;
0;
0;
[1.23, 1.396, 1.245, 1.422, 1.308 (3G)]","In Variant 16:

PQS 7 (3G) from QGRS mapper is similar to / a part of PQS 1, 2 (3G) from G4 hunter

PQS 2 (3G) from G4 Hunter has a left frame-shift as compared to PQS 7 (3G) from QGRS mapper.

PQS 8 (3G) from QGRS mapper is similar to / a part of PQS 3 (3G) from G4 hunter

PQS 3 (3G) from G4 Hunter has a left frame-shift as compared to PQS 8 (3G) from QGRS mapper.
 
By looking at  PQS 4, 5 (3G) from G4 hunter, it appears that at a time only 1 GQ can be formed as both PQS have few common G-tracts due to overlap amongst all of these PQS."
MEG3,prostate cancer,"qPCR, RNAi, Western blot, Flow cytometry assay etc.",down-regulated,26610246,"Also Known As: GTL2; FP504; prebp1; PRO0518; PRO2160; LINC00023; NCRNA00023; onco-lncRNA-83

Sequence not available for 11th variant.

Some (older-not checked for PQS) Long non-coding RNA containing retained intron meg3 (MEG3 gene); and maternally expressed 3 transcript variant lncRNA (MEG3) ""lncRNA"" ncRNA (TPA: HG975417.1 and complete sequence - MH929320.1 respectively) were also there in result.

Some (older-not checked for PQS) MEG3 isoforms ncRNA ""other"" ncRNA (complete sequence, alternatively spliced) were also there in result.

PQS 7 and 9 obtained in 16th Variant when search parameter was set to Min G-Group Size: 2 was replaced by another PQSs of same scores (by shifting G-Group/Quartet frame) when search parameter was set to Min G-Group Size: 3.
For further consideration, PQS when search parameter was set to Min G-Group Size: 2 was taken.","15
(11th Variant not available)
(Total=16)","NR_002766.2, NR_003530.2, NR_003531.3, NR_033358.1, NR_033359.1, NR_033360.1, NR_046464.1, NR_046465.2, NR_046466.1, NR_046467.1, _____, NR_046469.1, NR_046470.2, NR_046471.1, NR_046472.1, NR_046473.1","16, 19, 18, 17, 17, 17, 17, 17, 17, 18, ___, 17, 19, 17, 18, 93","14, 17, 16, 15, 15, 15, 15, 15, 15, 16, ___, 15, 17, 15, 16, 81","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, ___, 2, 2, 2, 2, 12

PQS 1 is same in all variants.
PQS 2 is absent in 16th variant.
PQS 2-12 of 16th variant is different from other variants.","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, ___, 0, 0, 0, 0, 0",REVIEWED,"4 (2 - 2G, 2 - C-rich);
4 (2 - 2G, 2 - C-rich);
9 (2 - 2G, 7 - C-rich);
4 (2 - 2G, 2 - C-rich);
9 (2 - 2G, 7 - C-rich);
4 (2 - 2G, 2 - C-rich);
9 (2 - 2G, 7 - C-rich);
4 (2 - 2G, 2 - C-rich);
4 (2 - 2G, 2 - C-rich);
4 (2 - 2G, 2 - C-rich);
____;
9 (2 - 2G, 7 - C-rich);
8 (2 - 2G, 6 - C-rich);
4 (2 - 2G, 2 - C-rich);
4 (2 - 2G, 2 - C-rich);
20 (19 - 2G, 1 - C-rich)","[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.911, -0.885, -0.918, -0.848, -0.911, -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.911, -0.885, -0.918, -0.848, -0.911, -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.911, -0.885, -0.918, -0.848, -0.911, -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

_____;

[0.911, 0.894 (2G); -0.911, -0.885, -0.918, -0.848, -0.911, -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.885, -0.918, -0.848, -0.911, -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894, 0.915, -0.911, 0.87, 0.891, 0.829, 0.962, 0.877,  0.821, 0.911, 0.843, 0.851, 0.798, 0.917, 0.911, 0.911, 0.849, 0.842]",No similarity to PQS (2G) from QGRS mapper,"0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
___;
0;
0;
0;
0;
5 (3G)","0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
___;
0;
0;
0;
0;
[1.23, 1.396, 1.245, 1.422, 1.308 (3G)]","In Variant 16:

PQS 7 (3G) from QGRS mapper is similar to / a part of PQS 1, 2 (3G) from G4 hunter

PQS 2 (3G) from G4 Hunter has a left frame-shift as compared to PQS 7 (3G) from QGRS mapper.

PQS 8 (3G) from QGRS mapper is similar to / a part of PQS 3 (3G) from G4 hunter

PQS 3 (3G) from G4 Hunter has a left frame-shift as compared to PQS 8 (3G) from QGRS mapper.
 
By looking at  PQS 4, 5 (3G) from G4 hunter, it appears that at a time only 1 GQ can be formed as both PQS have few common G-tracts due to overlap amongst all of these PQS."
MEG3,prostate cancer,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",down-regulated,23728290,"Also Known As: GTL2; FP504; prebp1; PRO0518; PRO2160; LINC00023; NCRNA00023; onco-lncRNA-83

Sequence not available for 11th variant.

Some (older-not checked for PQS) Long non-coding RNA containing retained intron meg3 (MEG3 gene); and maternally expressed 3 transcript variant lncRNA (MEG3) ""lncRNA"" ncRNA (TPA: HG975417.1 and complete sequence - MH929320.1 respectively) were also there in result.

Some (older-not checked for PQS) MEG3 isoforms ncRNA ""other"" ncRNA (complete sequence, alternatively spliced) were also there in result.

PQS 7 and 9 obtained in 16th Variant when search parameter was set to Min G-Group Size: 2 was replaced by another PQSs of same scores (by shifting G-Group/Quartet frame) when search parameter was set to Min G-Group Size: 3.
For further consideration, PQS when search parameter was set to Min G-Group Size: 2 was taken.","15
(11th Variant not available)
(Total=16)","NR_002766.2, NR_003530.2, NR_003531.3, NR_033358.1, NR_033359.1, NR_033360.1, NR_046464.1, NR_046465.2, NR_046466.1, NR_046467.1, _____, NR_046469.1, NR_046470.2, NR_046471.1, NR_046472.1, NR_046473.1","16, 19, 18, 17, 17, 17, 17, 17, 17, 18, ___, 17, 19, 17, 18, 93","14, 17, 16, 15, 15, 15, 15, 15, 15, 16, ___, 15, 17, 15, 16, 81","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, ___, 2, 2, 2, 2, 12

PQS 1 is same in all variants.
PQS 2 is absent in 16th variant.
PQS 2-12 of 16th variant is different from other variants.","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, ___, 0, 0, 0, 0, 0",REVIEWED,"4 (2 - 2G, 2 - C-rich);
4 (2 - 2G, 2 - C-rich);
9 (2 - 2G, 7 - C-rich);
4 (2 - 2G, 2 - C-rich);
9 (2 - 2G, 7 - C-rich);
4 (2 - 2G, 2 - C-rich);
9 (2 - 2G, 7 - C-rich);
4 (2 - 2G, 2 - C-rich);
4 (2 - 2G, 2 - C-rich);
4 (2 - 2G, 2 - C-rich);
____;
9 (2 - 2G, 7 - C-rich);
8 (2 - 2G, 6 - C-rich);
4 (2 - 2G, 2 - C-rich);
4 (2 - 2G, 2 - C-rich);
20 (19 - 2G, 1 - C-rich)","[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.911, -0.885, -0.918, -0.848, -0.911, -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.911, -0.885, -0.918, -0.848, -0.911, -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.911, -0.885, -0.918, -0.848, -0.911, -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

_____;

[0.911, 0.894 (2G); -0.911, -0.885, -0.918, -0.848, -0.911, -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.885, -0.918, -0.848, -0.911, -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894 (2G); -0.915, -0.816 (C-rich)];

[0.911, 0.894, 0.915, -0.911, 0.87, 0.891, 0.829, 0.962, 0.877,  0.821, 0.911, 0.843, 0.851, 0.798, 0.917, 0.911, 0.911, 0.849, 0.842]",No similarity to PQS (2G) from QGRS mapper,"0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
___;
0;
0;
0;
0;
5 (3G)","0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
___;
0;
0;
0;
0;
[1.23, 1.396, 1.245, 1.422, 1.308 (3G)]","In Variant 16:

PQS 7 (3G) from QGRS mapper is similar to / a part of PQS 1, 2 (3G) from G4 hunter

PQS 2 (3G) from G4 Hunter has a left frame-shift as compared to PQS 7 (3G) from QGRS mapper.

PQS 8 (3G) from QGRS mapper is similar to / a part of PQS 3 (3G) from G4 hunter

PQS 3 (3G) from G4 Hunter has a left frame-shift as compared to PQS 8 (3G) from QGRS mapper.
 
By looking at  PQS 4, 5 (3G) from G4 hunter, it appears that at a time only 1 GQ can be formed as both PQS have few common G-tracts due to overlap amongst all of these PQS."
MIR17HG,prostate cancer,"Microarray, qPCR etc.",up-regulated,27556357,Also Known As: MIHG1; MIRH1; FGLDS2; MIRHG1; C13orf25; LINC00048; miR-17-92; NCRNA00048,2,"NR_027350.1, NR_027349.1","19, 4","18, 3","1, 1","0, 0",REVIEWED,"2 (1 - 2G, 1 - 3G);
2 (1 - 2G, 1 - 3G)","[0.755 (2G); 1 (3G)];
[0.755 (2G); 1 (3G)]",PQS 1  (3G) from QGRS mapper is similar to / a part of PQS 1  (3G) from G4 hunter for both transcript variants,"0;
0","0;
0",No PQS found in G4 Hunter
MIR17HG,prostate cancer,"Microarray, qPCR etc.",up-regulated,27556357,Also Known As: MIHG1; MIRH1; FGLDS2; MIRHG1; C13orf25; LINC00048; miR-17-92; NCRNA00048,2,"NR_027350.1, NR_027349.1","19, 4","18, 3","1, 1","0, 0",REVIEWED,"2 (1 - 2G, 1 - 3G);
2 (1 - 2G, 1 - 3G)","[0.755 (2G); 1 (3G)];
[0.755 (2G); 1 (3G)]",PQS 1  (3G) from QGRS mapper is similar to / a part of PQS 1  (3G) from G4 hunter for both transcript variants,"0;
0","0;
0",No PQS found in G4 Hunter
MIR222HG,prostate cancer,"qPCR, luciferase reporter assay, RIP, in vitro knockdown etc.",up-regulated,29540675,Also Known As: Lnc-Ang362,1,NR_170290.1,89,84,3,2,VALIDATED,"27 (11 - 2G, 2 - 4G, 14- C-rich)",,"No similarity to PQS (2G) from QGRS mapper

PQS 1 (4G) from QGRS mapper is similar to / a part of PQS 1 (4G) from G4 hunter

PQS 2 (4G) from QGRS mapper is similar to / a part of PQS 2 (4G) from G4 hunter

PQS 1  (4G) from 0.9 threshold overlaps with PQS 1  (4G) from 1.4 threshold, can be considered as one.

PQS 2  (4G) from 0.9 threshold overlaps with PQS 2 (4G) from 1.4 threshold, can be considered as one.","5 (2-4G, 3 - C-rich)","[1.116, 1.167 (4G);
-1.422, -1.422, -1.36 (C-rich)]","PQS 1 (4G) from QGRS mapper is similar to / a part of PQS 1 (4G) from G4 hunter

PQS 2 (4G) from QGRS mapper is similar to / a part of PQS 2 (4G) from G4 hunter

PQS 1  (4G) from 0.9 threshold overlaps with PQS 1  (4G) from 1.4 threshold, can be considered as one.

PQS 2  (4G) from 0.9 threshold overlaps with PQS 2 (4G) from 1.4 threshold, can be considered as one."
MNX1-AS1,prostate cancer,"qPCR, Western blot",up-regulated,30980513,Also Known As: MAYA; CCAT5,1,NR_038835.1,12,10,2,0,VALIDATED,4 (C-rich),"[-0.963, -0.913, -0.978, -0.683 (C-rich)]",No similarity to PQS (2G) from QGRS mapper,1 (C-rich),[-1.362 (C-rich)],No similarity to PQS from QGRS mapper
"MYCLo-5
LPP-AS2",prostate cancer,"qPCR, Flow cytometry assay, Cell proliferation assay etc.",down-regulated,26003165,"Also Known As: LPP-AS2; MYCLo-5; MYCLo-6

Some (older) MYCLo-5_v1 and v2 long non-coding RNA ""other"" ncRNA (complete sequence-JX046913.1 and JX046914.1 respectively) with PQS-10, 5 respectively were also there in result.

Aliases for LPP-AS2 Gene (From GeneCards database - GCID:GC03M188151)
LPP Antisense RNA 2
LPP-AS2
LPP Antisense RNA 2 (Non-Protein Coding) 2
MYCLo-5
MYCLo-6
NONHSAG036948.2
HSALNG0031463

Alias symbols for LPP-AS2 (From HGNC databse - HGNC ID - HGNC:27952)
MYCLo-5
MYCLo-6
LPP antisense RNA 2 (non-protein coding)

Gene Synonyms for LPP-AS2 (From Ensembl database - Ensembl version - ENSG00000270959.1)
MYCLo-5, MYCLo-6",1 (LPP-AS2),LPP-AS2 (NR_036497.1),18 (LPP-AS2),18 (LPP-AS2),0 (LPP-AS2),0 (LPP-AS2),VALIDATED (LPP-AS2),"10 (2- 2G, 8 - C-rich)","[ 0.936, 0.894 (2G); -1.04, -0.958, -1.011, -0.868, -0.942, -0.915, -0.788, -0.883 (C-rich)]",No similarity to PQS (2G) from QGRS mapper,0,0,No PQS found in G4 Hunter
"MYCLo-6
LPP-AS2",prostate cancer,"qPCR, Flow cytometry assay, Cell proliferation assay etc.",down-regulated,26003165,"Also Known As: LPP-AS2; MYCLo-5; MYCLo-6

Some (older) MYCLo-5_v1 and v2 long non-coding RNA ""other"" ncRNA (complete sequence-JX046913.1 and JX046914.1 respectively) with PQS-10, 5 respectively were also there in result.

Aliases for LPP-AS2 Gene (From GeneCards database - GCID:GC03M188151)
LPP Antisense RNA 2
LPP-AS2
LPP Antisense RNA 2 (Non-Protein Coding) 2
MYCLo-5
MYCLo-6
NONHSAG036948.2
HSALNG0031463

Alias symbols for LPP-AS2 (From HGNC databse - HGNC ID - HGNC:27952)
MYCLo-5
MYCLo-6
LPP antisense RNA 2 (non-protein coding)

Gene Synonyms for LPP-AS2 (From Ensembl database - Ensembl version - ENSG00000270959.1)
MYCLo-5, MYCLo-6",1 (LPP-AS2),LPP-AS2 (NR_036497.1),18 (LPP-AS2),18 (LPP-AS2),0 (LPP-AS2),0 (LPP-AS2),VALIDATED (LPP-AS2),"10 (2- 2G, 8 - C-rich)","[ 0.936, 0.894 (2G); -1.04, -0.958, -1.011, -0.868, -0.942, -0.915, -0.788, -0.883 (C-rich)]",No similarity to PQS (2G) from QGRS mapper,0,0,No PQS found in G4 Hunter
"MYU 
(VPS9D1-AS1)",prostate cancer,"qPCR, ChIP, Dual luciferase activity assay, Western blot",up-regulated,30132573,Also Known As: VPS9D1-AS1; MY,1 (VPS9D1-AS1),VPS9D1-AS1 (NR_036480.1),20 (VPS9D1-AS1),16 (VPS9D1-AS1),4 (VPS9D1-AS1),0 (VPS9D1-AS1),VALIDATED (VPS9D1-AS1),"28 (8 - 2G, 2 - 3G, 18 - C-rich)","[1, 0.894 (3G), 0.87, 0.911, 0.911, 0.933, 0.911, 0.911, 0.957, 0.891 (2G), -0.946, -0.916, -0.956, -1.111, -0.936, -0.885, -0.957, -0.911, -0.878, -0.947, -0.958, -0.898, -0.947, -0.958,  -0.898, -0.833, -0.815, -0.939 (C-rich)]","PQS 7 (3G) of QGRS mapper is similar to / a part of PQS 1 (3G) of G4 hunter 

PQS 16 (3G) of QGRS mapper is similar to / a part of PQS 10 (3G) of G4 hunter ",2 (C-rich),"[-1.333, -1.366 (C-rich)]",No similarity to any PQS (3G) from QGRS mapper.
"NCK1-AS1
NCK1-DT",prostate cancer,"RT-qPCR, Western blotting",up-regulated,31807161,Also Known As: NCK1-DT; NCK1-AS1; SLC35G2-AS1,3 (NCK1-DT),"NCK1-DT (NR_110175.1, NR_110176.1, NR_110177.1)","9, 8, 7 (NCK1-DT)","9, 8, 7 (NCK1-DT)","0, 0, 0 (NCK1-DT)","0, 0, 0 (NCK1-DT)",VALIDATED (NCK1-DT),"3 (2-C-rich, 1-2G);
3 (2-C-rich, 1-2G);
3 (2-C-rich, 1-2G)","[-0.78, -0.94 (C-rich);
0.891 (2G)];

[-0.78, -0.94 (C-rich);
0.891 (2G)];

[-0.78, -0.94 (C-rich);
0.891 (2G)]",,0,0,"No PQS found in
G4 Hunter"
NEAT1,prostate cancer,"qRT-PCR, Western blot, RIP, Dual luciferase reporter assay",up-regulated,31672604,"Also Known As: VINC; TncRNA; LINC00084; NCRNA00084

Some (older, not checked for PQS) NEAT1 lncRNA ""lncRNA"" ncRNA (complete sequence-MK562403.1; experiment-RACE) was also there in result.",2 (NEAT1_MENbeta and MENepsilon),"NEAT1_MENbeta and MENepsilon (NR_131012.1,NR_028272.1 respectively)","150, 41 (NEAT1_MENbeta and MENepsilon)","134, 33 (NEAT1_MENbeta and MENepsilon)","16, 8 (NEAT1_MENbeta and MENepsilon)","0, 0 (NEAT1_MENbeta and MENepsilon)",REVIEWED,"64 (39 - 2G, 25 - C-rich);
25 (23 - 2G, 2 - C-rich )",,No similarity to PQS (2G) from QGRS mapper,"11 (9 - 3G, 2 - C-rich);
8 (3G)","[1.4, 1.37, 1.306, 1.231, 1.38, 1.391, 1.404, 1.153, 1.377 (3G); -1.296, -1.316 (C-rich)];
[1.4, 1.37, 1.306, 1.231, 1.38, 1.391, 1.404, 1.153 (3G)]
","PQS 2 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 hunter.

PQS 4 (3G) from QGRS mapper is similar to / a part of PQS 2 (3G) from G4 hunter

PQS 6 (3G) from QGRS mapper is similar to / a part of PQS 6 (3G) from G4 hunter

PQS 5, 7, 8, 9, 10, 11 from G4 Hunter has no similarity to PQS from QGRS mapper

PQS 3, 4 (3G) from G4 Hunter has a left frame-shift as compared to PQS 5 (3G) from QGRS mapper. PQS 6 (3G) from G4 Hunter has a left frame-shift as compared to PQS 6 (3G)  from QGRS mapper.

By looking at  PQS 3, 4 (3G) from G4 hunter, it appears that at a time only 1 GQ can be formed as both PQS have few common G-tracts due to overlap amongst all of these PQS."
NEAT1,prostate cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP, etc.",up-regulated,31481527,"Also Known As: VINC; TncRNA; LINC00084; NCRNA00084

Some (older, not checked for PQS) NEAT1 lncRNA ""lncRNA"" ncRNA (complete sequence-MK562403.1; experiment-RACE) was also there in result.",2 (NEAT1_MENbeta and MENepsilon),"NEAT1_MENbeta and MENepsilon (NR_131012.1,NR_028272.1 respectively)","150, 41 (NEAT1_MENbeta and MENepsilon)","134, 33 (NEAT1_MENbeta and MENepsilon)","16, 8 (NEAT1_MENbeta and MENepsilon)","0, 0 (NEAT1_MENbeta and MENepsilon)",REVIEWED,"64 (39 - 2G, 25 - C-rich);
25 (23 - 2G, 2 - C-rich )",,No similarity to PQS (2G) from QGRS mapper,"11 (9 - 3G, 2 - C-rich);
8 (3G)","[1.4, 1.37, 1.306, 1.231, 1.38, 1.391, 1.404, 1.153, 1.377 (3G); -1.296, -1.316 (C-rich)];
[1.4, 1.37, 1.306, 1.231, 1.38, 1.391, 1.404, 1.153 (3G)]
","PQS 2 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 hunter.

PQS 4 (3G) from QGRS mapper is similar to / a part of PQS 2 (3G) from G4 hunter

PQS 6 (3G) from QGRS mapper is similar to / a part of PQS 6 (3G) from G4 hunter

PQS 5, 7, 8, 9, 10, 11 from G4 Hunter has no similarity to PQS from QGRS mapper

PQS 3, 4 (3G) from G4 Hunter has a left frame-shift as compared to PQS 5 (3G) from QGRS mapper. PQS 6 (3G) from G4 Hunter has a left frame-shift as compared to PQS 6 (3G)  from QGRS mapper.

By looking at  PQS 3, 4 (3G) from G4 hunter, it appears that at a time only 1 GQ can be formed as both PQS have few common G-tracts due to overlap amongst all of these PQS."
NEAT1,prostate cancer,"RNA-seq, qPCR, ChIP etc.",up-regulated,25415230,"Also Known As: VINC; TncRNA; LINC00084; NCRNA00084

Some (older, not checked for PQS) NEAT1 lncRNA ""lncRNA"" ncRNA (complete sequence-MK562403.1; experiment-RACE) was also there in result.",2 (NEAT1_MENbeta and MENepsilon),"NEAT1_MENbeta and MENepsilon (NR_131012.1,NR_028272.1 respectively)","150, 41 (NEAT1_MENbeta and MENepsilon)","134, 33 (NEAT1_MENbeta and MENepsilon)","16, 8 (NEAT1_MENbeta and MENepsilon)","0, 0 (NEAT1_MENbeta and MENepsilon)",REVIEWED,"64 (39 - 2G, 25 - C-rich);
25 (23 - 2G, 2 - C-rich )",,No similarity to PQS (2G) from QGRS mapper,"11 (9 - 3G, 2 - C-rich);
8 (3G)","[1.4, 1.37, 1.306, 1.231, 1.38, 1.391, 1.404, 1.153, 1.377 (3G); -1.296, -1.316 (C-rich)];
[1.4, 1.37, 1.306, 1.231, 1.38, 1.391, 1.404, 1.153 (3G)]
","PQS 2 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 hunter.

PQS 4 (3G) from QGRS mapper is similar to / a part of PQS 2 (3G) from G4 hunter

PQS 6 (3G) from QGRS mapper is similar to / a part of PQS 6 (3G) from G4 hunter

PQS 5, 7, 8, 9, 10, 11 from G4 Hunter has no similarity to PQS from QGRS mapper

PQS 3, 4 (3G) from G4 Hunter has a left frame-shift as compared to PQS 5 (3G) from QGRS mapper. PQS 6 (3G) from G4 Hunter has a left frame-shift as compared to PQS 6 (3G)  from QGRS mapper.

By looking at  PQS 3, 4 (3G) from G4 hunter, it appears that at a time only 1 GQ can be formed as both PQS have few common G-tracts due to overlap amongst all of these PQS."
NEAT1,prostate cancer,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",up-regulated,23728290,"Also Known As: VINC; TncRNA; LINC00084; NCRNA00084

Some (older, not checked for PQS) NEAT1 lncRNA ""lncRNA"" ncRNA (complete sequence-MK562403.1; experiment-RACE) was also there in result.",2 (NEAT1_MENbeta and MENepsilon),"NEAT1_MENbeta and MENepsilon (NR_131012.1,NR_028272.1 respectively)","150, 41 (NEAT1_MENbeta and MENepsilon)","134, 33 (NEAT1_MENbeta and MENepsilon)","16, 8 (NEAT1_MENbeta and MENepsilon)","0, 0 (NEAT1_MENbeta and MENepsilon)",REVIEWED,"64 (39 - 2G, 25 - C-rich);
25 (23 - 2G, 2 - C-rich )",,No similarity to PQS (2G) from QGRS mapper,"11 (9 - 3G, 2 - C-rich);
8 (3G)","[1.4, 1.37, 1.306, 1.231, 1.38, 1.391, 1.404, 1.153, 1.377 (3G); -1.296, -1.316 (C-rich)];
[1.4, 1.37, 1.306, 1.231, 1.38, 1.391, 1.404, 1.153 (3G)]
","PQS 2 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 hunter.

PQS 4 (3G) from QGRS mapper is similar to / a part of PQS 2 (3G) from G4 hunter

PQS 6 (3G) from QGRS mapper is similar to / a part of PQS 6 (3G) from G4 hunter

PQS 5, 7, 8, 9, 10, 11 from G4 Hunter has no similarity to PQS from QGRS mapper

PQS 3, 4 (3G) from G4 Hunter has a left frame-shift as compared to PQS 5 (3G) from QGRS mapper. PQS 6 (3G) from G4 Hunter has a left frame-shift as compared to PQS 6 (3G)  from QGRS mapper.

By looking at  PQS 3, 4 (3G) from G4 hunter, it appears that at a time only 1 GQ can be formed as both PQS have few common G-tracts due to overlap amongst all of these PQS."
